"strategy_id","management_strategy","patient_risk_category","prob_asymp_to_symp","prob_asymp_to_death","prob_symp_to_hf","prob_symp_to_death","prob_hf_to_death","cost_asymptomatic","cost_symptomatic","cost_heart_failure","cost_death","utility_asymptomatic","utility_symptomatic","utility_heart_failure","utility_death"
1,"Standard Care","Moderate Risk",0.10689582738094,0.0140413984563202,0.186891509173438,0.0336416851077229,0.155265823062509,2072.97975489442,12282.4116981333,39063.986652637,0,0.904173566808458,0.707149612344801,0.45316296267556,0
2,"Standard Care","Low Risk",0.0863485286477953,0.0148742567072622,0.166083256807178,0.0237098343484104,0.161341964006424,1844.4185069416,9932.01771552411,39444.6580137203,0,0.941496934555471,0.718824484059587,0.493800871877465,0
3,"Preventive Surgery","Moderate Risk",0.0473429995239712,0.0107508237846196,0.0612666687299497,0.033307616780512,0.150358978156,7538.22703693014,15406.6192571942,40683.9572939784,0,0.927219669392798,0.751269035064615,0.473470767668914,0
4,"Intensive Monitoring","Low Risk",0.0532864986779168,0.0118278260435909,0.146306650936604,0.0398822699300945,0.142021334897727,3622.41941332546,11813.6634000111,31744.415982228,0,0.945501328387763,0.720243209507316,0.554527463356499,0
5,"Standard Care","Low Risk",0.107403969764709,0.0118327803653665,0.183652493101545,0.0297303558140993,0.146750098578632,1708.99623506862,10052.2686277845,31720.1584504864,0,0.93493041099282,0.758774126833305,0.483205440302845,0
6,"Preventive Surgery","Moderate Risk",0.0386990791140124,0.0149979178234935,0.0718073058011942,0.0313445954676718,0.185438752062619,6725.58529890527,12892.807613864,34539.2696727283,0,0.946297445369419,0.773811091156676,0.59147952022031,0
7,"Standard Care","Moderate Risk",0.0924777112249285,0.0180545602785423,0.215946327173151,0.0359050012752414,0.192081891596317,1923.54809249966,10514.6802155337,38105.3581619012,0,0.914556622691453,0.711079968581907,0.46234913788503,0
8,"Intensive Monitoring","High Risk",0.0607406479632482,0.0191892150230706,0.137705772798508,0.0233661690633744,0.144750698599964,4242.32874859677,9266.06889906759,40720.7094590906,0,0.927554561418947,0.71968400045298,0.594683393917512,0
9,"Preventive Surgery","Moderate Risk",0.0434320645383559,0.0120582109270617,0.119379876833409,0.0214586162986234,0.191896772999316,8114.90022452075,9440.72885660278,34202.3844253509,0,0.902185491099954,0.775540753244422,0.477016762434505,0
10,"Intensive Monitoring","Moderate Risk",0.0529780401638709,0.0179261690168642,0.100875313915312,0.02135686728172,0.199058012086898,5145.50529011502,11341.0965774598,37929.8935066423,0,0.938753728882875,0.751490272441879,0.529427236458287,0
