"state_id","treatment_strategy","patient_risk_group","prob_healthy_to_sick","prob_sick_to_recovered","prob_sick_to_dead","prob_recovered_to_sick","prob_progression","cost_healthy_state","cost_sick_state","cost_recovered_state","cost_treatment_annual","cost_monitoring","utility_healthy","utility_sick","utility_recovered","utility_treatment","cycle_length","time_horizon"
1,"Immediate Treatment","Low Risk",0.0916945653269067,0.585144962090999,0.0364636697433889,0.273478152463213,0.47969923671335,1002.36334970848,9805.66394176318,2478.83993374385,12033.0028008834,2365.89262363127,0.9593739150092,0.561055879550986,0.852884965762496,0.63424135860987,1,11
2,"Immediate Treatment","Intermediate Risk",0.0828032422810793,0.517833950463682,0.0394138607382774,0.132545609539375,0.240556359221227,1112.82714956299,7080.52454246044,2337.47130661689,11943.3319613152,2672.90746464466,0.960802010283805,0.427817240962759,0.851107388664968,0.657825111132115,1,17
3,"Watch and Wait","High Risk",0.0628030170220882,0.467744281422347,0.0117403078544885,0.218221690598875,0.456258932827041,1117.15432563247,10855.2086485711,3226.91908370909,6898.89515064771,1670.90137487343,0.947131153941154,0.559041445865296,0.873981541651301,0.779177888296545,1,20
4,"Watch and Wait","Low Risk",0.0865241080289707,0.636374514456838,0.0316184908896685,0.147928225249052,0.428869789815508,1278.80210417501,8770.39788376734,2466.51595907158,11887.9456554288,2042.78198811716,0.907868638797663,0.400449276017025,0.818213030672632,0.773255192069337,1,11
5,"Watch and Wait","Intermediate Risk",0.1096233303193,0.326164477597922,0.0350232847873121,0.196436453750357,0.392117828084156,1308.92079653856,9002.95326348586,3699.9690801478,11806.2547731877,2462.26136812783,0.955829812306911,0.541547478735447,0.856529317586683,0.744740031613037,1,13
6,"Combination Therapy","Low Risk",0.125918962596916,0.653325536847114,0.0399571294896305,0.248052125563845,0.445389755698852,787.056529397596,8144.49580120014,3263.7123693458,13769.4303451409,1865.31327272652,0.904629115271382,0.40390495993197,0.899063681205735,0.749570272071287,1,20
7,"Combination Therapy","Intermediate Risk",0.103911458142102,0.589830352831632,0.0159814295917749,0.10550370560959,0.350724274246022,1316.10853578447,8897.13130482717,3287.39046146049,11201.1117100104,1905.31838686935,0.920486219855957,0.514231832930818,0.8744745912496,0.723812015540898,1,14
8,"Combination Therapy","Intermediate Risk",0.0773252422688529,0.332339358702302,0.0277998074982315,0.289850846072659,0.311799284000881,979.944121279968,9015.04787684835,3160.55490567121,8831.10536375227,1552.86659812694,0.947206256398931,0.49881092000287,0.879067619494163,0.64878835179843,1,12
9,"Watch and Wait","Low Risk",0.143598892749287,0.340184646472335,0.0379716705344617,0.287156507186592,0.467219322663732,1093.40410929791,7161.11111046326,3201.00413018756,11759.5939343385,1988.09935352459,0.920902460208163,0.685660894121975,0.821934130275622,0.700145620387048,1,19
10,"Immediate Treatment","Low Risk",0.103559827874415,0.625537250004709,0.0142310175485909,0.278004514286295,0.220767577108927,1061.4811564609,6766.67650778183,3618.07280623046,9381.47765664277,2687.37213780725,0.932264721067622,0.564879206451587,0.878352114162408,0.762113679898903,1,19
11,"Watch and Wait","High Risk",0.137067074142396,0.348951162025332,0.040876258565113,0.220078941108659,0.222198790567927,1020.12036495651,7059.60388713611,3051.28284701499,9056.72329070655,2737.58763762572,0.954199846507981,0.46447106373962,0.818178705801256,0.70726849292405,1,16
12,"Combination Therapy","Intermediate Risk",0.126958919968456,0.612681359611452,0.0354377172980458,0.163999512651935,0.417140351212584,904.068395556383,6534.95723009432,3217.5319392366,12608.3487039461,1602.7444789051,0.911368802119978,0.508951117144898,0.85675879244227,0.670470764953643,1,19
