"source","target","weight","cluster","edge_type"
"Node_045","Node_024",3.41,"Cluster_B","Weak"
"Node_037","Node_009",1.39,"Cluster_A","Strong"
"Node_035","Node_040",3.96,"Cluster_B","Medium"
"Node_038","Node_027",5.97,"Cluster_B","Strong"
"Node_021","Node_048",6.11,"Cluster_C","Strong"
"Node_027","Node_014",1.11,"Cluster_B","Medium"
"Node_025","Node_004",3.91,"Cluster_B","Weak"
"Node_014","Node_038",6.28,"Cluster_D","Weak"
"Node_031","Node_035",0.44,"Cluster_C","Weak"
"Node_009","Node_027",6.43,"Cluster_D","Strong"
"Node_015","Node_004",2.46,"Cluster_D","Weak"
"Node_026","Node_001",5.07,"Cluster_B","Weak"
"Node_019","Node_037",6.62,"Cluster_B","Weak"
"Node_043","Node_007",8.76,"Cluster_D","Medium"
"Node_008","Node_001",3.17,"Cluster_A","Weak"
"Node_014","Node_045",8.63,"Cluster_C","Medium"
"Node_013","Node_033",2.35,"Cluster_B","Strong"
"Node_005","Node_028",9.67,"Cluster_C","Medium"
"Node_030","Node_026",1.09,"Cluster_D","Medium"
"Node_047","Node_005",0.15,"Cluster_A","Medium"
"Node_025","Node_006",1.6,"Cluster_B","Strong"
"Node_049","Node_002",6.23,"Cluster_D","Medium"
"Node_038","Node_016",0.29,"Cluster_D","Medium"
"Node_040","Node_026",0.18,"Cluster_C","Medium"
"Node_037","Node_047",3.42,"Cluster_A","Strong"
"Node_041","Node_036",1.34,"Cluster_A","Weak"
"Node_034","Node_045",2.26,"Cluster_D","Weak"
"Node_027","Node_025",2.69,"Cluster_B","Weak"
"Node_004","Node_028",4.34,"Cluster_C","Medium"
"Node_028","Node_048",6.93,"Cluster_D","Weak"
"Node_010","Node_006",2.02,"Cluster_B","Weak"
"Node_031","Node_003",5.75,"Cluster_D","Strong"
"Node_001","Node_045",4.33,"Cluster_B","Medium"
"Node_010","Node_048",5.42,"Cluster_C","Strong"
"Node_043","Node_017",2.91,"Cluster_C","Medium"
"Node_020","Node_013",9.11,"Cluster_C","Strong"
"Node_030","Node_005",2.23,"Cluster_A","Weak"
"Node_011","Node_048",1.33,"Cluster_B","Medium"
"Node_034","Node_010",7.75,"Cluster_D","Medium"
"Node_038","Node_009",5.43,"Cluster_C","Medium"
"Node_030","Node_042",6.5,"Cluster_B","Strong"
"Node_035","Node_045",0.82,"Cluster_A","Strong"
"Node_015","Node_047",7.2,"Cluster_D","Medium"
"Node_048","Node_050",8.88,"Cluster_A","Medium"
"Node_033","Node_049",2.76,"Cluster_C","Medium"
"Node_004","Node_018",1.9,"Cluster_D","Strong"
"Node_020","Node_024",8.47,"Cluster_C","Medium"
"Node_016","Node_027",8.86,"Cluster_C","Medium"
"Node_041","Node_009",0.86,"Cluster_A","Medium"
"Node_025","Node_009",4.4,"Cluster_D","Strong"
"Node_002","Node_043",6.71,"Cluster_B","Strong"
"Node_023","Node_005",3.17,"Cluster_D","Strong"
"Node_027","Node_034",6.28,"Cluster_C","Weak"
"Node_016","Node_040",0.68,"Cluster_B","Medium"
"Node_016","Node_024",1.1,"Cluster_D","Medium"
"Node_024","Node_011",3.68,"Cluster_C","Medium"
"Node_030","Node_024",9.04,"Cluster_C","Medium"
"Node_035","Node_005",1.62,"Cluster_C","Medium"
"Node_047","Node_010",9.02,"Cluster_B","Medium"
"Node_035","Node_033",8.84,"Cluster_B","Medium"
"Node_001","Node_014",6.94,"Cluster_D","Medium"
"Node_012","Node_013",5.95,"Cluster_B","Medium"
"Node_023","Node_032",3.33,"Cluster_C","Medium"
"Node_012","Node_005",1.11,"Cluster_C","Medium"
"Node_017","Node_008",4.46,"Cluster_B","Medium"
"Node_034","Node_023",7.58,"Cluster_C","Strong"
"Node_049","Node_027",8.73,"Cluster_A","Medium"
"Node_005","Node_043",4.94,"Cluster_D","Weak"
"Node_014","Node_012",0.84,"Cluster_D","Medium"
"Node_004","Node_019",1.43,"Cluster_D","Medium"
"Node_019","Node_042",7.35,"Cluster_B","Strong"
"Node_025","Node_003",0.74,"Cluster_A","Weak"
"Node_017","Node_018",5.6,"Cluster_C","Weak"
"Node_010","Node_005",5.55,"Cluster_A","Medium"
"Node_005","Node_037",7.55,"Cluster_B","Weak"
"Node_038","Node_017",0.87,"Cluster_A","Strong"
"Node_017","Node_048",1.37,"Cluster_B","Medium"
"Node_036","Node_026",1.39,"Cluster_B","Strong"
"Node_035","Node_028",9.62,"Cluster_D","Medium"
"Node_008","Node_018",9.88,"Cluster_D","Medium"
"Node_022","Node_024",4.68,"Cluster_A","Weak"
"Node_045","Node_029",3.42,"Cluster_D","Medium"
"Node_026","Node_040",0.2,"Cluster_D","Strong"
"Node_010","Node_006",7.16,"Cluster_B","Medium"
"Node_043","Node_041",5.64,"Cluster_B","Strong"
"Node_005","Node_021",1.96,"Cluster_C","Strong"
"Node_026","Node_046",2.52,"Cluster_C","Medium"
"Node_019","Node_002",1.64,"Cluster_B","Weak"
"Node_012","Node_017",7.99,"Cluster_A","Strong"
"Node_035","Node_012",7.06,"Cluster_A","Strong"
"Node_040","Node_035",8.85,"Cluster_B","Medium"
"Node_041","Node_009",1.64,"Cluster_A","Weak"
"Node_041","Node_009",6.25,"Cluster_B","Weak"
"Node_021","Node_028",4.04,"Cluster_D","Strong"
