"treatment_arm","week","response_rate"
"Placebo",0,22.9846788578758
"Low_Dose",0,29.5890588707489
"High_Dose",0,33.2579001892257
"Combination",0,45.3633243417861
"Placebo",1,25.4152791787932
"Low_Dose",1,31.493472085333
"High_Dose",1,38.2856580746811
"Combination",1,42.7609727651251
"Placebo",2,25.6354042392406
"Low_Dose",2,32.1676003446185
"High_Dose",2,38.8841432034465
"Combination",2,47.7221184183453
"Placebo",3,28.0170949985492
"Low_Dose",3,32.1581541752058
"High_Dose",3,46.1830855791228
"Combination",3,55.6656494848034
"Placebo",4,22.9778343008984
"Low_Dose",4,35.6303802961258
"High_Dose",4,39.3921987772164
"Combination",4,58.1118278545514
"Placebo",5,22.0088423188529
"Low_Dose",5,37.5702242287024
"High_Dose",5,48.7291759517504
"Combination",5,52.4295941159271
"Placebo",6,23.2536326094804
"Low_Dose",6,33.7141856335757
"High_Dose",6,47.6266542561508
"Combination",6,60.1890434277582
"Placebo",7,19.4991202729877
"Low_Dose",7,35.4338029069203
"High_Dose",7,48.5496163238668
"Combination",7,59.1406515113106
"Placebo",8,21.4436654260692
"Low_Dose",8,32.5447818551086
"High_Dose",8,48.200582811443
"Combination",8,61.364900063433
"Placebo",9,28.2230837344667
"Low_Dose",9,34.8911516530397
"High_Dose",9,49.4467297963908
"Combination",9,53.7260393175344
"Placebo",10,22.2814311200997
"Low_Dose",10,33.1919403699047
"High_Dose",10,47.9755263621471
"Combination",10,55.586884973333
"Placebo",11,22.5208982714422
"Low_Dose",11,36.3245983754675
"High_Dose",11,54.0692344289164
"Combination",11,57.0336050020945
"Placebo",12,21.0450263125667
"Low_Dose",12,34.1707876166547
"High_Dose",12,47.9820467172564
"Combination",12,60.3023464484472
"Placebo",13,22.8733371825238
"Low_Dose",13,34.9733844698344
"High_Dose",13,50.0518622500639
"Combination",13,60.403449931415
"Placebo",14,27.8665294997759
"Low_Dose",14,38.0517727686568
"High_Dose",14,45.5628293908222
"Combination",14,64.837323738685
"Placebo",15,29.1409583391213
"Low_Dose",15,41.5694103242273
"High_Dose",15,51.9447118370464
"Combination",15,62.1456641466389
