"group","value","time","category"
"A",9.84947360470255,1,"Y"
"A",12.0383141386618,2,"Y"
"A",11.4232038449725,3,"Y"
"A",11.9805244920885,4,"X"
"A",14.7658533904607,5,"Y"
"A",11.3288317273882,6,"Y"
"A",10.4147623147706,7,"X"
"A",5.57873377884876,8,"Z"
"A",15.3834280064922,9,"Y"
"A",9.03464635640738,10,"X"
"A",14.7494694301908,11,"Y"
"A",10.74928713601,12,"Z"
"A",13.0768603977936,13,"X"
"A",9.78057935764752,14,"Y"
"A",11.0229415093963,15,"Z"
"A",10.4279159592845,16,"Y"
"A",9.62775860125301,17,"Y"
"A",9.75921235075501,18,"Z"
"A",12.0256686716885,19,"X"
"A",9.597083706057,20,"Y"
"B",8.8869525166776,1,"X"
"B",14.4123322535105,2,"Z"
"B",16.6193718166088,3,"X"
"B",16.8493671490543,4,"Z"
"B",16.8497034524323,5,"X"
"B",9.92369543739276,6,"X"
"B",16.1062261740336,7,"Y"
"B",17.9035776298412,8,"Z"
"B",18.829736044403,9,"Z"
"B",14.3251161868677,10,"Z"
"B",14.0343222414516,11,"Z"
"B",19.4635134956341,12,"Z"
"B",9.99621586266204,13,"Y"
"B",13.6895100692606,14,"Z"
"B",16.3723862380724,15,"Z"
"B",10.1466787038563,16,"Y"
"B",15.8388835872953,17,"Z"
"B",20.6335920631566,18,"Y"
"B",14.987818039691,19,"Z"
"B",14.1646379251092,20,"Z"
"C",12.9498234280681,1,"Y"
"C",11.4418556584254,2,"Y"
"C",13.6268007481581,3,"Z"
"C",13.8088709288994,4,"X"
"C",12.0053833224602,5,"X"
"C",9.64661568450055,6,"X"
"C",9.36355854508182,7,"Z"
"C",10.8140052686894,8,"Z"
"C",13.5947610010997,9,"Z"
"C",8.08358965068615,10,"X"
"C",8.22734968253491,11,"X"
"C",10.6924403504798,12,"Z"
"C",12.7887896959612,13,"Z"
"C",10.17286790367,14,"Z"
"C",13.7734980741921,15,"X"
"C",12.6667399403104,16,"X"
"C",11.6587207635228,17,"X"
"C",13.6376562730636,18,"X"
"C",12.7767303256387,19,"X"
"C",11.1081299455757,20,"Z"
