"week_numeric","year_week","department","admissions"
0,"2020-W01","Emergency",215
7,"2020-W02","Emergency",213
14,"2020-W03","Emergency",261
21,"2020-W04","Emergency",310
28,"2020-W05","Emergency",361
35,"2020-W06","Emergency",416
42,"2020-W07","Emergency",509
49,"2020-W08","Emergency",554
56,"2020-W09","Emergency",649
63,"2020-W10","Emergency",670
70,"2020-W11","Emergency",725
77,"2020-W12","Emergency",753
84,"2020-W13","Emergency",688
91,"2020-W14","Emergency",673
98,"2020-W15","Emergency",626
105,"2020-W16","Emergency",575
112,"2020-W17","Emergency",494
119,"2020-W18","Emergency",390
126,"2020-W19","Emergency",330
133,"2020-W20","Emergency",331
140,"2020-W21","Emergency",262
147,"2020-W22","Emergency",204
154,"2020-W23","Emergency",201
161,"2020-W24","Emergency",202
168,"2020-W25","Emergency",198
175,"2020-W26","Emergency",153
182,"2020-W27","Emergency",149
189,"2020-W28","Emergency",122
196,"2020-W29","Emergency",152
203,"2020-W30","Emergency",135
210,"2020-W31","Emergency",153
217,"2020-W32","Emergency",160
224,"2020-W33","Emergency",172
231,"2020-W34","Emergency",158
238,"2020-W35","Emergency",189
245,"2020-W36","Emergency",175
252,"2020-W37","Emergency",213
259,"2020-W38","Emergency",240
266,"2020-W39","Emergency",248
273,"2020-W40","Emergency",319
280,"2020-W41","Emergency",355
287,"2020-W42","Emergency",379
294,"2020-W43","Emergency",423
301,"2020-W44","Emergency",423
308,"2020-W45","Emergency",426
315,"2020-W46","Emergency",456
322,"2020-W47","Emergency",432
329,"2020-W48","Emergency",450
336,"2020-W49","Emergency",400
343,"2020-W50","Emergency",388
350,"2020-W51","Emergency",352
357,"2020-W52","Emergency",304
364,"2020-W53","Emergency",309
371,"2021-W01","Emergency",269
378,"2021-W02","Emergency",238
385,"2021-W03","Emergency",223
392,"2021-W04","Emergency",215
399,"2021-W05","Emergency",197
406,"2021-W06","Emergency",144
413,"2021-W07","Emergency",189
420,"2021-W08","Emergency",177
427,"2021-W09","Emergency",185
434,"2021-W10","Emergency",190
441,"2021-W11","Emergency",202
448,"2021-W12","Emergency",171
455,"2021-W13","Emergency",202
462,"2021-W14","Emergency",190
469,"2021-W15","Emergency",203
476,"2021-W16","Emergency",208
483,"2021-W17","Emergency",214
490,"2021-W18","Emergency",202
497,"2021-W19","Emergency",237
504,"2021-W20","Emergency",275
511,"2021-W21","Emergency",283
518,"2021-W22","Emergency",324
525,"2021-W23","Emergency",377
532,"2021-W24","Emergency",410
539,"2021-W25","Emergency",428
546,"2021-W26","Emergency",419
553,"2021-W27","Emergency",412
560,"2021-W28","Emergency",434
567,"2021-W29","Emergency",386
574,"2021-W30","Emergency",347
581,"2021-W31","Emergency",303
588,"2021-W32","Emergency",246
595,"2021-W33","Emergency",236
602,"2021-W34","Emergency",193
609,"2021-W35","Emergency",169
616,"2021-W36","Emergency",167
623,"2021-W37","Emergency",153
630,"2021-W38","Emergency",154
637,"2021-W39","Emergency",123
644,"2021-W40","Emergency",141
651,"2021-W41","Emergency",157
658,"2021-W42","Emergency",130
665,"2021-W43","Emergency",149
672,"2021-W44","Emergency",167
679,"2021-W45","Emergency",192
686,"2021-W46","Emergency",251
693,"2021-W47","Emergency",301
700,"2021-W48","Emergency",351
707,"2021-W49","Emergency",388
714,"2021-W50","Emergency",387
721,"2021-W51","Emergency",448
728,"2021-W52","Emergency",412
735,"2022-W01","Emergency",411
742,"2022-W02","Emergency",378
749,"2022-W03","Emergency",349
756,"2022-W04","Emergency",317
763,"2022-W05","Emergency",281
770,"2022-W06","Emergency",249
777,"2022-W07","Emergency",227
784,"2022-W08","Emergency",201
791,"2022-W09","Emergency",189
798,"2022-W10","Emergency",164
805,"2022-W11","Emergency",179
812,"2022-W12","Emergency",175
819,"2022-W13","Emergency",222
826,"2022-W14","Emergency",159
833,"2022-W15","Emergency",180
840,"2022-W16","Emergency",154
847,"2022-W17","Emergency",153
854,"2022-W18","Emergency",174
861,"2022-W19","Emergency",155
868,"2022-W20","Emergency",167
875,"2022-W21","Emergency",158
882,"2022-W22","Emergency",151
889,"2022-W23","Emergency",127
896,"2022-W24","Emergency",135
903,"2022-W25","Emergency",153
910,"2022-W26","Emergency",155
917,"2022-W27","Emergency",135
924,"2022-W28","Emergency",139
931,"2022-W29","Emergency",153
938,"2022-W30","Emergency",155
945,"2022-W31","Emergency",114
952,"2022-W32","Emergency",126
959,"2022-W33","Emergency",143
966,"2022-W34","Emergency",116
973,"2022-W35","Emergency",121
980,"2022-W36","Emergency",120
987,"2022-W37","Emergency",107
994,"2022-W38","Emergency",113
1001,"2022-W39","Emergency",120
1008,"2022-W40","Emergency",115
1015,"2022-W41","Emergency",139
1022,"2022-W42","Emergency",116
1029,"2022-W43","Emergency",119
