"pathologist","style_group","years_experience","specialty","uses_ein","institution","agreement_pct","kappa"
"T","Green",25,"GYN","No","EUFM",66.13,0.4521
"S","Green",13,"GYN","No","EUFM",69.35,0.5109
"R","Green",12,"GYN","No","MUFM",72.58,0.6276
"N","Green",4,"GYN","Yes","BUFM",75.81,0.6809
"H","Yellow",33,"GYN","No","AUFM",82.46,0.7656
"J","Yellow",8,"GYN","No","DEUFM",80.65,0.7255
"K","Yellow",8,"GYN","No","CUFM",80.65,0.7429
"B","Yellow",13,"GYN","No","AUFM",87.1,0.8225
"C","Yellow",16,"GYN","No","IUCFM",86.89,0.8229
"I","Yellow",18,"GYN","No","IUCFM",83.33,0.7734
"D","Yellow",12,"GYN","No","EZH",85.48,0.7932
"M","Yellow",1,"GEN","No","HUFM",79.03,0.718
"L","Yellow",7,"GYN","No","KUFM",79.03,0.6797
"Q","Yellow",21,"GYN","No","DEUFM",75.81,0.6904
"P","Yellow",5,"GEN","Yes","HUFM",75.81,0.6873
"O","Red",3,"GEN","No","BUFM",74.19,0.663
"A","Red",13,"GYN","No","EZH",88.71,0.8351
"G","Red",17,"GYN","Yes","UUFM",83.05,0.7813
"F","Red",6,"GYN","Yes","BUFM",85.48,0.7734
"E","Red",15,"GYN","Yes","HUFM",83.87,0.7685
