"id","scenario","numeric_var_1","numeric_var_2","categorical_var_1","categorical_var_2","special_characters","constant_numeric","constant_factor","many_categories"
"EDGE_001","6",NA,NA,NA,NA,"Unicode-é",42,"SAME","Cat_13"
"EDGE_002","4",7.094654425513,238.292971353965,"B","Type2","Special@#$",42,"SAME","Cat_02"
"EDGE_003","3",0.000525600343570113,0.0119666127697565,"A","Type2","Normal",42,"SAME","Cat_24"
"EDGE_004","5",0,0,"C","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_18"
"EDGE_005","2",NA,-680.599591694772,"EXTREME","OUTLIER","Normal",42,"SAME","Cat_15"
"EDGE_006","1",65.4651636374488,97.6650058313435,"B","Type2","Special@#$",42,"SAME","Cat_14"
"EDGE_007","1",44.0340518177302,102.294632293367,NA,"Type2","Special@#$",42,"SAME","Cat_01"
"EDGE_008","4",6.23895930405706,212.038672329097,"A","Type1","Special@#$",42,"SAME","Cat_25"
"EDGE_009","2",1046.7237289995,-827.535693300888,"EXTREME","OUTLIER","Spaces Here",42,"SAME","Cat_19"
"EDGE_010","1",NA,70.3166992051223,"A","Type1","Special@#$",42,"SAME","Cat_13"
"EDGE_011","3",0.000609824559208937,0.0935028997296467,"B","Type2","Special@#$",42,"SAME","Cat_14"
"EDGE_012","1",39.7025464169598,109.096681942246,"C","Type2","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_08"
"EDGE_013","6",NA,NA,NA,NA,"Normal",42,"SAME","Cat_12"
"EDGE_014","3",0.000993311049952172,0.0364834704180248,NA,"Type2","Normal",42,"SAME","Cat_25"
"EDGE_015","3",NA,0.0394101312896237,"A","Type1","Special@#$",42,"SAME","Cat_06"
"EDGE_016","3",0.00081655455797445,0.0205605303985067,"C","Type2","Special@#$",42,"SAME","Cat_05"
"EDGE_017","1",65.0417443581078,95.8343600773971,"C","Type2","Spaces Here",42,"SAME","Cat_16"
"EDGE_018","3",0.000998267704737373,0.0191618636948988,"C","Type2","Unicode-é",42,"SAME","Cat_21"
"EDGE_019","1",42.603155155256,114.804533928828,"A","Type2","Normal",42,"SAME","Cat_14"
"EDGE_020","1",NA,67.9094593043782,"A","Type1","Spaces Here",42,"SAME","Cat_12"
"EDGE_021","6",NA,NA,NA,NA,"Special@#$",42,"SAME","Cat_04"
"EDGE_022","3",0.000326764687336981,0.0368148111365736,"B","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_02"
"EDGE_023","1",42.6116238117857,107.504205738933,"A","Type1","Spaces Here",42,"SAME","Cat_15"
"EDGE_024","2",6139.88898671232,-326.434815861285,"EXTREME","OUTLIER","Unicode-é",42,"SAME","Cat_01"
"EDGE_025","5",NA,0,"C","Type2","Unicode-é",42,"SAME","Cat_06"
"EDGE_026","5",0,0,"A","Type2","Normal",42,"SAME","Cat_08"
"EDGE_027","6",NA,NA,NA,NA,"Normal",42,"SAME","Cat_18"
"EDGE_028","4",9.23515965882689,305.772073943111,NA,"Type2","Unicode-é",42,"SAME","Cat_08"
"EDGE_029","3",0.000881997662363574,0.068620896958746,"C","Type1","Spaces Here",42,"SAME","Cat_15"
"EDGE_030","6",NA,NA,NA,NA,"Unicode-é",42,"SAME","Cat_01"
"EDGE_031","3",0.000962975628930144,0.0104039550945163,"A","Type2","Special@#$",42,"SAME","Cat_05"
"EDGE_032","3",0.000331454581976868,0.0805439816368744,"A","Type2","Spaces Here",42,"SAME","Cat_05"
"EDGE_033","4",5.58905143477023,305.57246077393,"C","Type2","Normal",42,"SAME","Cat_16"
"EDGE_034","5",0,0,"A","Type2","Normal",42,"SAME","Cat_02"
"EDGE_035","1",NA,113.255527955196,NA,"Type2","Unicode-é",42,"SAME","Cat_04"
"EDGE_036","1",59.3414564370455,124.307987734027,"B","Type2","Spaces Here",42,"SAME","Cat_20"
"EDGE_037","4",9.8732547191903,190.005982576389,"A","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_12"
"EDGE_038","2",1214.9237236008,-956.399790779687,"EXTREME","OUTLIER","Normal",42,"SAME","Cat_02"
"EDGE_039","3",0.000858316329796799,0.0135411015013233,"C","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_17"
"EDGE_040","2",NA,-873.687597969547,"EXTREME","OUTLIER","Unicode-é",42,"SAME","Cat_06"
"EDGE_041","2",4245.00758666545,-958.015284221619,"EXTREME","OUTLIER","Spaces Here",42,"SAME","Cat_13"
"EDGE_042","3",0.000563523568143137,0.033549971296452,NA,"Type1","Special@#$",42,"SAME","Cat_25"
"EDGE_043","4",6.36766153923236,46.9433827105105,"C","Type2","Normal",42,"SAME","Cat_05"
"EDGE_044","1",57.8860607877084,78.142627525537,"B","Type2","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_01"
"EDGE_045","5",NA,0,"A","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_25"
"EDGE_046","6",NA,NA,NA,NA,"Unicode-é",42,"SAME","Cat_15"
"EDGE_047","5",0,0,"C","Type2","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_07"
"EDGE_048","3",0.000412498921900988,0.0184237055038102,"C","Type2","Spaces Here",42,"SAME","Cat_02"
"EDGE_049","4",2.53287268499844,3.27681308798365,NA,"Type2","Special@#$",42,"SAME","Cat_17"
"EDGE_050","6",NA,NA,NA,NA,"VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_25"
"EDGE_051","4",4.91737702023238,304.138441286657,"B","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_02"
"EDGE_052","2",2963.57388980687,-894.439392932691,"EXTREME","OUTLIER","Special@#$",42,"SAME","Cat_21"
"EDGE_053","5",0,0,"A","Type2","Normal",42,"SAME","Cat_21"
"EDGE_054","2",8618.37076977827,-516.993995662779,"EXTREME","OUTLIER","Unicode-é",42,"SAME","Cat_18"
"EDGE_055","5",NA,0,"A","Type2","Spaces Here",42,"SAME","Cat_07"
"EDGE_056","3",0.000489298922964372,0.0728430505981669,NA,"Type1","Special@#$",42,"SAME","Cat_09"
"EDGE_057","2",3528.44356070273,-738.249196228571,"EXTREME","OUTLIER","Unicode-é",42,"SAME","Cat_01"
"EDGE_058","2",4310.16741017811,-792.808262305334,"EXTREME","OUTLIER","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_06"
"EDGE_059","4",9.54408684140071,61.169733096433,"A","Type1","Special@#$",42,"SAME","Cat_16"
"EDGE_060","3",NA,0.048048336841166,"B","Type2","Special@#$",42,"SAME","Cat_16"
"EDGE_061","4",7.10978094232269,33.6088738557218,"C","Type1","Unicode-é",42,"SAME","Cat_14"
"EDGE_062","3",0.000718439772562124,0.0515958506031893,"C","Type1","Special@#$",42,"SAME","Cat_14"
"EDGE_063","2",7003.9945684839,-465.034978557378,NA,"OUTLIER","Unicode-é",42,"SAME","Cat_09"
"EDGE_064","4",9.55159092671238,304.869622464751,"A","Type2","Spaces Here",42,"SAME","Cat_03"
"EDGE_065","1",NA,81.0738380458795,"A","Type2","Normal",42,"SAME","Cat_24"
"EDGE_066","5",0,0,"B","Type1","Normal",42,"SAME","Cat_14"
"EDGE_067","1",63.6379678548288,112.569778577086,"C","Type1","Special@#$",42,"SAME","Cat_18"
"EDGE_068","1",53.2687902458478,70.6369061351932,"C","Type2","Normal",42,"SAME","Cat_21"
"EDGE_069","5",0,0,"B","Type2","Special@#$",42,"SAME","Cat_17"
"EDGE_070","3",NA,0.0396245782170445,NA,"Type2","Normal",42,"SAME","Cat_14"
"EDGE_071","3",0.000327172847464681,0.0944428721885197,"C","Type1","Spaces Here",42,"SAME","Cat_21"
"EDGE_072","5",0,0,"C","Type2","Spaces Here",42,"SAME","Cat_19"
"EDGE_073","1",52.9077398897257,144.439463645924,"B","Type1","Special@#$",42,"SAME","Cat_04"
"EDGE_074","1",43.1612408924897,116.068739513198,"A","Type2","Normal",42,"SAME","Cat_18"
"EDGE_075","4",NA,155.233491725452,"C","Type2","Normal",42,"SAME","Cat_17"
"EDGE_076","4",7.48086030781269,190.254854657927,"C","Type1","Special@#$",42,"SAME","Cat_16"
"EDGE_077","2",8920.15352821909,-157.239712704904,NA,"OUTLIER","Unicode-é",42,"SAME","Cat_25"
"EDGE_078","1",56.7419414405813,127.839109901023,"A","Type1","Special@#$",42,"SAME","Cat_21"
"EDGE_079","6",NA,NA,NA,NA,"Unicode-é",42,"SAME","Cat_19"
"EDGE_080","4",NA,293.242191675793,"C","Type1","Normal",42,"SAME","Cat_24"
"EDGE_081","3",0.00022236303135287,0.0990077462373301,"C","Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_19"
"EDGE_082","1",65.353560836353,84.1964033048467,"C","Type2","Normal",42,"SAME","Cat_03"
"EDGE_083","5",0,0,"B","Type2","Unicode-é",42,"SAME","Cat_12"
"EDGE_084","6",NA,NA,NA,NA,"Special@#$",42,"SAME","Cat_11"
"EDGE_085","4",NA,282.458518357566,"A","Type1","Normal",42,"SAME","Cat_04"
"EDGE_086","6",NA,NA,NA,NA,"Normal",42,"SAME","Cat_03"
"EDGE_087","2",6758.87134019285,-524.346406245604,"EXTREME","OUTLIER","Unicode-é",42,"SAME","Cat_17"
"EDGE_088","2",1867.69471899606,-493.756749946624,"EXTREME","OUTLIER","Special@#$",42,"SAME","Cat_05"
"EDGE_089","4",1.21601042267866,66.4912677486028,"C","Type2","Special@#$",42,"SAME","Cat_02"
"EDGE_090","1",NA,100.887287425796,"C","Type1","Normal",42,"SAME","Cat_06"
"EDGE_091","4",1.23103727865964,291.51026872081,NA,"Type1","VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_06"
"EDGE_092","6",NA,NA,NA,NA,"VeryLongCategoryNameThatExceedsTypicalLimits",42,"SAME","Cat_07"
"EDGE_093","2",4954.76927910931,-313.076474727131,"EXTREME","OUTLIER","Spaces Here",42,"SAME","Cat_24"
"EDGE_094","3",0.000852835773164406,0.0191773438337259,"C","Type1","Unicode-é",42,"SAME","Cat_08"
"EDGE_095","1",NA,124.453008685706,"B","Type2","Normal",42,"SAME","Cat_09"
"EDGE_096","6",NA,NA,NA,NA,"Normal",42,"SAME","Cat_16"
"EDGE_097","3",0.000943826685822569,0.0451037469529547,"B","Type2","Unicode-é",42,"SAME","Cat_21"
"EDGE_098","3",0.000783621378336102,0.033825853781309,NA,"Type2","Spaces Here",42,"SAME","Cat_04"
"EDGE_099","1",55.6145250594071,76.7644502823312,"B","Type1","Unicode-é",42,"SAME","Cat_24"
"EDGE_100","3",NA,0.0245569140184671,"C","Type2","Normal",42,"SAME","Cat_13"
