"path","md5","current_md5","unchanged"
"R/survivalPower.b.R","7b6048a5ae9e222292d54d91c37eef0d","187b625c7d405d20c7f54ca8d05f4cd4",FALSE
"R/survivalPower.h.R","72dec919d67e12dd723bf89af6979a4b","67d5dcc36e57e0e726b380ea9daa11f1",FALSE
"R/survivalPower_distributions.R","2c9ebdee7585ec4cfcca480e8f3c7459","2c9ebdee7585ec4cfcca480e8f3c7459",TRUE
"jamovi/survivalPower.a.yaml","835e8aafc5e76de615107978ea5ba317","821af4116621efd00b4811c6997662cb",FALSE
"jamovi/survivalPower.u.yaml","48be768d4cb32c83c20699d9a5299bcb","d2423dc25149fe48aab6ed5cd832c0aa",FALSE
"jamovi/survivalPower.r.yaml","f106f67e0a7a91aaecb4ff25f6192393","f106f67e0a7a91aaecb4ff25f6192393",TRUE
"jamovi/js/survivalPower.events.js","34bb60f706a83f37031a01f6bca1edfc","34bb60f706a83f37031a01f6bca1edfc",TRUE
"jamovi/00refs.yaml","7c909f488069ae617bcc52dd45773f54","5715f72159d6ae369f27f3bec9e2c30d",FALSE
"tests/testthat/test-survivalPower-check-function.R","e3d4851c20c2ed70b49a37495aba50a6","55c326d8971b61d749faff382306c603",FALSE
"tests/testthat/test-survivalPower-design-factors.R","0be7c1212959c5b91855d9552750e43a","0be7c1212959c5b91855d9552750e43a",TRUE
"tests/testthat/test-survivalPower-distributions.R","393ed7143672e32680666ee9cedab72a","393ed7143672e32680666ee9cedab72a",TRUE
"tests/testthat/test-survivalPower-events.R","8e8cffdaac9597617d9f6d77d3b6ad5e","8e8cffdaac9597617d9f6d77d3b6ad5e",TRUE
"tests/testthat/test-survivalPower-full-audit-fixes.R","da4e94d41ee04c2e491f37d6072099b2","da4e94d41ee04c2e491f37d6072099b2",TRUE
"tests/testthat/test-survivalPower-interim-and-ni.R","2948ef82969a9d157fd60d34ea68d783","2948ef82969a9d157fd60d34ea68d783",TRUE
"tests/testthat/test-survivalPower-release-review.R","b32f5fd7390150a2d37fb61a19e85a4e","b32f5fd7390150a2d37fb61a19e85a4e",TRUE
"tests/testthat/test-survivalPower-reporting.R","302251b9da85c6df43331fd55563649a","a7566e2b81b11cdf619de794ae39f6f1",FALSE
"tests/testthat/test-survivalPower-simulation.R","b3520a95b7452d79a5ce3e4b523616ce","b3520a95b7452d79a5ce3e4b523616ce",TRUE
"tests/testthat/test-survivalPower.R","4e2caff99b81bac03204ba9e02809e01","4e2caff99b81bac03204ba9e02809e01",TRUE
"man/survivalPower.Rd","fc716a4f3813ae2f9d9bb9153bd32abb","2abbd3ce6a85de813690011572c59af9",FALSE
"development-scripts/validate_survivalPower_fixes.R","206f7e5dd311435cc7317b297c7599b9","a83eece3148cdfa9681f11a576c08928",FALSE
