"path","md5"
"R/survivalPower.b.R","17d5e1ff1fa52a8bd3e14a37ab389d96"
"R/survivalPower.h.R","67d5dcc36e57e0e726b380ea9daa11f1"
"R/survivalPower_distributions.R","2c9ebdee7585ec4cfcca480e8f3c7459"
"jamovi/survivalPower.a.yaml","821af4116621efd00b4811c6997662cb"
"jamovi/survivalPower.u.yaml","d2423dc25149fe48aab6ed5cd832c0aa"
"jamovi/survivalPower.r.yaml","f106f67e0a7a91aaecb4ff25f6192393"
"jamovi/js/survivalPower.events.js","34bb60f706a83f37031a01f6bca1edfc"
"jamovi/00refs.yaml","5715f72159d6ae369f27f3bec9e2c30d"
"man/survivalPower.Rd","2abbd3ce6a85de813690011572c59af9"
"development-scripts/validate_survivalPower_fixes.R","a83eece3148cdfa9681f11a576c08928"
"tests/testthat/test-survivalPower-check-function.R","55c326d8971b61d749faff382306c603"
"tests/testthat/test-survivalPower-design-factors.R","0be7c1212959c5b91855d9552750e43a"
"tests/testthat/test-survivalPower-distributions.R","393ed7143672e32680666ee9cedab72a"
"tests/testthat/test-survivalPower-events.R","8e8cffdaac9597617d9f6d77d3b6ad5e"
"tests/testthat/test-survivalPower-full-audit-fixes.R","da4e94d41ee04c2e491f37d6072099b2"
"tests/testthat/test-survivalPower-interim-and-ni.R","2948ef82969a9d157fd60d34ea68d783"
"tests/testthat/test-survivalPower-release-gates.R","ebbb7a69b1c4f46f88797ba19a0a42fc"
"tests/testthat/test-survivalPower-release-review.R","b32f5fd7390150a2d37fb61a19e85a4e"
"tests/testthat/test-survivalPower-reporting.R","a7566e2b81b11cdf619de794ae39f6f1"
"tests/testthat/test-survivalPower-review-fixes.R","139e2ea15ff1524863b763b8674b7e6f"
"tests/testthat/test-survivalPower-simulation.R","b3520a95b7452d79a5ce3e4b523616ce"
"tests/testthat/test-survivalPower-ui-bindings.R","7258961a1c2b4da3b196dca5abd7a3d9"
"tests/testthat/test-survivalPower.R","4e2caff99b81bac03204ba9e02809e01"
