path,md5
R/survivalPower.b.R,ad8360318afa6be5a964e8a93c5a9777
R/survivalPower.h.R,67d5dcc36e57e0e726b380ea9daa11f1
R/survivalPower_distributions.R,2c9ebdee7585ec4cfcca480e8f3c7459
jamovi/survivalPower.a.yaml,34f35f9846dc0fc668b27f5dca90d5a9
jamovi/survivalPower.u.yaml,061ac573c0d3deed39138d62e093f8fb
jamovi/survivalPower.r.yaml,f106f67e0a7a91aaecb4ff25f6192393
jamovi/00refs.yaml,7c909f488069ae617bcc52dd45773f54
man/survivalPower.Rd,2abbd3ce6a85de813690011572c59af9
jamovi/js/survivalPower.events.js,34bb60f706a83f37031a01f6bca1edfc
jamovi/i18n/catalog.pot,b0a9efe08a31946d6af485c588b9f3a1
jamovi/i18n/en.po,d9f7de52f4c4f2954de7f919fabfb3c7
jamovi/i18n/tr.po,0b41e792a19398e72aa06fc43434c2aa
tests/testthat/test-survivalPower-reporting.R,a7566e2b81b11cdf619de794ae39f6f1
tests/testthat/test-survivalPower-release-review.R,b32f5fd7390150a2d37fb61a19e85a4e
tests/testthat/test-survivalPower-events.R,8e8cffdaac9597617d9f6d77d3b6ad5e
tests/testthat/test-survivalPower-check-function.R,55c326d8971b61d749faff382306c603
tests/testthat/test-survivalPower-review-fixes.R,c514bb0dc54a785d8ddf6fc670c9a3a0
tests/testthat/test-survivalPower.R,4e2caff99b81bac03204ba9e02809e01
tests/testthat/test-survivalPower-interim-and-ni.R,2948ef82969a9d157fd60d34ea68d783
tests/testthat/test-survivalPower-simulation.R,b3520a95b7452d79a5ce3e4b523616ce
tests/testthat/test-survivalPower-full-audit-fixes.R,da4e94d41ee04c2e491f37d6072099b2
tests/testthat/test-survivalPower-distributions.R,393ed7143672e32680666ee9cedab72a
tests/testthat/test-survivalPower-design-factors.R,0be7c1212959c5b91855d9552750e43a
development-scripts/validate_survivalPower_fixes.R,a83eece3148cdfa9681f11a576c08928
development-scripts/review_survivalPower_cases.R,3ca9ecb938a894ef77dc4de55bc78c4e
development-scripts/review_survivalPower_static.R,1c3dc5772f7192c3e9de988aa557ad63
development-scripts/benchmark_survivalPower_review_fixes.R,25f1d7718f2a8fa6563ec0d53d2cc679
