"filename","line_number","column_number","type","message","line","linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",296,28,"style","Either both or neither branch in `if`/`else` should use curly braces.","            comparisons <- if (self$options$study_design == ""multi_arm"") {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,35,"style","Opening curly braces should never go on their own line and should always be followed by a new line.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,51,"style","Opening curly braces should never go on their own line and should always be followed by a new line.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,64,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,72,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,81,"style","Closing curly-braces should always be on their own line, unless they are followed by an else.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,82,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",313,86,"style","Closing curly-braces should always be on their own line, unless they are followed by an else.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1183,51,"style","Either both or neither branch in `if`/`else` should use curly braces.","                private$primary_numbers$events <- if (looks > 1) {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1212,26,"style","Wrap multi-line function bodies in curly braces.","            objective <- function(follow_up) private$.basic_power_calc(n, hr, alpha,","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1215,51,"style","Either both or neither branch in `if`/`else` should use curly braces.","            if (objective(0) >= 0) follow_up <- 0 else {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1699,86,"style","Either both or neither branch in `if`/`else` should use curly braces.","            half_time <- if (is.na(events_needed) || is.na(total_duration)) NA_real_ else {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",2432,25,"style","Either both or neither branch in `if`/`else` should use curly braces.","            template <- if (self$options$test_type == ""non_inferiority"") {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",2829,18,"style","Either both or neither branch in `if`/`else` should use curly braces.","            k <- if (self$options$interim_analyses > 0 &&","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",3103,23,"style","Either both or neither branch in `if`/`else` should use curly braces.","                hr <- if (is.finite(tau) && tau > 0 && probability > 0 && probability < 1) {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",4000,25,"style","Either both or neither branch in `if`/`else` should use curly braces.","                        if (length(p_value) != 1 || !is.finite(p_value)) {","brace_linter"
