os,r_version,filename,url
linux,R4.1.2,ClinicoPathDescriptives-ab7082d3c8d9005ca2c445e8c04f2606a93a156e.jmo,https://library.jamovi.org/linux/R4.1.2/ClinicoPathDescriptives-ab7082d3c8d9005ca2c445e8c04f2606a93a156e.jmo
linux,R4.1.2,jsurvival-080034635c3f0173e5a22ddd2614d0af90504763.jmo,https://library.jamovi.org/linux/R4.1.2/jsurvival-080034635c3f0173e5a22ddd2614d0af90504763.jmo
linux,R4.1.2,jsurvival-9a8472efe06cfa8b0a6d671e0eed58be22d0c3af.jmo,https://library.jamovi.org/linux/R4.1.2/jsurvival-9a8472efe06cfa8b0a6d671e0eed58be22d0c3af.jmo
linux,R4.1.3,ClinicoPathDescriptives-0.0.2.0084.jmo,https://library.jamovi.org/linux/R4.1.3/ClinicoPathDescriptives-0.0.2.0084.jmo
linux,R4.1.3,ClinicoPathDescriptives-0.0.2.07.jmo,https://library.jamovi.org/linux/R4.1.3/ClinicoPathDescriptives-0.0.2.07.jmo
linux,R4.1.3,ClinicoPathDescriptives-0.0.2.08.jmo,https://library.jamovi.org/linux/R4.1.3/ClinicoPathDescriptives-0.0.2.08.jmo
linux,R4.1.3,ClinicoPathDescriptives-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.1.3/ClinicoPathDescriptives-0.0.2.26.jmo
linux,R4.1.3,jjstatsplot-0.0.2.05.jmo,https://library.jamovi.org/linux/R4.1.3/jjstatsplot-0.0.2.05.jmo
linux,R4.1.3,jsurvival-0.0.2.05.jmo,https://library.jamovi.org/linux/R4.1.3/jsurvival-0.0.2.05.jmo
linux,R4.1.3,jsurvival-0.0.2.07.jmo,https://library.jamovi.org/linux/R4.1.3/jsurvival-0.0.2.07.jmo
linux,R4.1.3,jsurvival-0.0.2.14.jmo,https://library.jamovi.org/linux/R4.1.3/jsurvival-0.0.2.14.jmo
linux,R4.1.3,jsurvival-0.0.2.17.jmo,https://library.jamovi.org/linux/R4.1.3/jsurvival-0.0.2.17.jmo
linux,R4.1.3,jsurvival-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.1.3/jsurvival-0.0.2.26.jmo
linux,R4.3.2-arm64,ClinicoPathDescriptives-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.3.2-arm64/ClinicoPathDescriptives-0.0.2.26.jmo
linux,R4.3.2-arm64,jsurvival-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.3.2-arm64/jsurvival-0.0.2.26.jmo
linux,R4.3.2-x64,ClinicoPathDescriptives-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.3.2-x64/ClinicoPathDescriptives-0.0.2.26.jmo
linux,R4.3.2-x64,jsurvival-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.3.2-x64/jsurvival-0.0.2.26.jmo
linux,R4.4.1-arm64,ClinicoPathDescriptives-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/ClinicoPathDescriptives-0.0.2.26.jmo
linux,R4.4.1-arm64,ClinicoPathDescriptives-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/ClinicoPathDescriptives-0.0.2.59.jmo
linux,R4.4.1-arm64,jsurvival-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/jsurvival-0.0.2.26.jmo
linux,R4.4.1-arm64,jsurvival-0.0.2.48.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/jsurvival-0.0.2.48.jmo
linux,R4.4.1-arm64,jsurvival-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/jsurvival-0.0.2.59.jmo
linux,R4.4.1-arm64,jsurvival-0.0.2.82.jmo,https://library.jamovi.org/linux/R4.4.1-arm64/jsurvival-0.0.2.82.jmo
linux,R4.4.1-x64,ClinicoPathDescriptives-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.4.1-x64/ClinicoPathDescriptives-0.0.2.26.jmo
linux,R4.4.1-x64,ClinicoPathDescriptives-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.4.1-x64/ClinicoPathDescriptives-0.0.2.59.jmo
linux,R4.4.1-x64,jsurvival-0.0.2.26.jmo,https://library.jamovi.org/linux/R4.4.1-x64/jsurvival-0.0.2.26.jmo
linux,R4.4.1-x64,jsurvival-0.0.2.48.jmo,https://library.jamovi.org/linux/R4.4.1-x64/jsurvival-0.0.2.48.jmo
linux,R4.4.1-x64,jsurvival-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.4.1-x64/jsurvival-0.0.2.59.jmo
linux,R4.4.1-x64,jsurvival-0.0.2.82.jmo,https://library.jamovi.org/linux/R4.4.1-x64/jsurvival-0.0.2.82.jmo
linux,R4.5.0-arm64,ClinicoPathDescriptives-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.5.0-arm64/ClinicoPathDescriptives-0.0.2.59.jmo
linux,R4.5.0-arm64,ClinicoPathDescriptives-0.0.3.90.jmo,https://library.jamovi.org/linux/R4.5.0-arm64/ClinicoPathDescriptives-0.0.3.90.jmo
linux,R4.5.0-arm64,ClinicoPathDescriptives-0.0.3.98.jmo,https://library.jamovi.org/linux/R4.5.0-arm64/ClinicoPathDescriptives-0.0.3.98.jmo
linux,R4.5.0-arm64,jsurvival-0.0.2.82.jmo,https://library.jamovi.org/linux/R4.5.0-arm64/jsurvival-0.0.2.82.jmo
linux,R4.5.0-arm64,jsurvival-0.0.3.90.jmo,https://library.jamovi.org/linux/R4.5.0-arm64/jsurvival-0.0.3.90.jmo
linux,R4.5.0-x64,ClinicoPathDescriptives-0.0.2.59.jmo,https://library.jamovi.org/linux/R4.5.0-x64/ClinicoPathDescriptives-0.0.2.59.jmo
linux,R4.5.0-x64,ClinicoPathDescriptives-0.0.3.90.jmo,https://library.jamovi.org/linux/R4.5.0-x64/ClinicoPathDescriptives-0.0.3.90.jmo
linux,R4.5.0-x64,ClinicoPathDescriptives-0.0.3.98.jmo,https://library.jamovi.org/linux/R4.5.0-x64/ClinicoPathDescriptives-0.0.3.98.jmo
linux,R4.5.0-x64,jsurvival-0.0.2.82.jmo,https://library.jamovi.org/linux/R4.5.0-x64/jsurvival-0.0.2.82.jmo
linux,R4.5.0-x64,jsurvival-0.0.3.90.jmo,https://library.jamovi.org/linux/R4.5.0-x64/jsurvival-0.0.3.90.jmo
macos,R3.6.1,ClinicoPath-0.0.1.jmo,https://library.jamovi.org/macos/R3.6.1/ClinicoPath-0.0.1.jmo
macos,R3.6.3,ClinicoPath-0.0.1.jmo,https://library.jamovi.org/macos/R3.6.3/ClinicoPath-0.0.1.jmo
macos,R3.6.3,ClinicoPath-0.0.2.jmo,https://library.jamovi.org/macos/R3.6.3/ClinicoPath-0.0.2.jmo
macos,R3.6.3,ClinicoPathDescriptives-0.0.2.0019.jmo,https://library.jamovi.org/macos/R3.6.3/ClinicoPathDescriptives-0.0.2.0019.jmo
macos,R3.6.3,ClinicoPathDescriptives-0.0.2.0025.jmo,https://library.jamovi.org/macos/R3.6.3/ClinicoPathDescriptives-0.0.2.0025.jmo
macos,R3.6.3,jjstatsplot-0.0.1.0001.jmo,https://library.jamovi.org/macos/R3.6.3/jjstatsplot-0.0.1.0001.jmo
