"quarter_numeric","quarter_label","therapeutic_area","total_enrollment"
0,"2019-Qq","Cardiovascular",13353
90,"2019-Qq","Cardiovascular",12441
181,"2019-Qq","Cardiovascular",11144
273,"2019-Qq","Cardiovascular",12694
365,"2020-Qq","Cardiovascular",13604
456,"2020-Qq","Cardiovascular",5899
547,"2020-Qq","Cardiovascular",5307
639,"2020-Qq","Cardiovascular",6141
731,"2021-Qq","Cardiovascular",9305
821,"2021-Qq","Cardiovascular",8877
912,"2021-Qq","Cardiovascular",7593
1004,"2021-Qq","Cardiovascular",8355
1096,"2022-Qq","Cardiovascular",14689
1186,"2022-Qq","Cardiovascular",13728
1277,"2022-Qq","Cardiovascular",11865
1369,"2022-Qq","Cardiovascular",13616
1461,"2023-Qq","Cardiovascular",14536
1551,"2023-Qq","Cardiovascular",13369
1642,"2023-Qq","Cardiovascular",12273
1734,"2023-Qq","Cardiovascular",13428
0,"2019-Qq","Infectious_Disease",12379
90,"2019-Qq","Infectious_Disease",11159
181,"2019-Qq","Infectious_Disease",10002
273,"2019-Qq","Infectious_Disease",11204
365,"2020-Qq","Infectious_Disease",11852
456,"2020-Qq","Infectious_Disease",5934
547,"2020-Qq","Infectious_Disease",4936
639,"2020-Qq","Infectious_Disease",5762
731,"2021-Qq","Infectious_Disease",8376
821,"2021-Qq","Infectious_Disease",7828
912,"2021-Qq","Infectious_Disease",7137
1004,"2021-Qq","Infectious_Disease",7433
1096,"2022-Qq","Infectious_Disease",13837
1186,"2022-Qq","Infectious_Disease",12326
1277,"2022-Qq","Infectious_Disease",11247
1369,"2022-Qq","Infectious_Disease",11952
1461,"2023-Qq","Infectious_Disease",13431
1551,"2023-Qq","Infectious_Disease",12157
1642,"2023-Qq","Infectious_Disease",11113
1734,"2023-Qq","Infectious_Disease",12485
0,"2019-Qq","Metabolic",11052
90,"2019-Qq","Metabolic",10024
181,"2019-Qq","Metabolic",9223
273,"2019-Qq","Metabolic",10151
365,"2020-Qq","Metabolic",11057
456,"2020-Qq","Metabolic",4703
547,"2020-Qq","Metabolic",4815
639,"2020-Qq","Metabolic",4973
731,"2021-Qq","Metabolic",7856
821,"2021-Qq","Metabolic",7095
912,"2021-Qq","Metabolic",6285
1004,"2021-Qq","Metabolic",7210
1096,"2022-Qq","Metabolic",12385
1186,"2022-Qq","Metabolic",11230
1277,"2022-Qq","Metabolic",10079
1369,"2022-Qq","Metabolic",11338
1461,"2023-Qq","Metabolic",12314
1551,"2023-Qq","Metabolic",11021
1642,"2023-Qq","Metabolic",10246
1734,"2023-Qq","Metabolic",11257
0,"2019-Qq","Neurology",10088
90,"2019-Qq","Neurology",8917
181,"2019-Qq","Neurology",8253
273,"2019-Qq","Neurology",9091
365,"2020-Qq","Neurology",10176
456,"2020-Qq","Neurology",4302
547,"2020-Qq","Neurology",4089
639,"2020-Qq","Neurology",4760
731,"2021-Qq","Neurology",6929
821,"2021-Qq","Neurology",6611
912,"2021-Qq","Neurology",6014
1004,"2021-Qq","Neurology",6508
1096,"2022-Qq","Neurology",10998
1186,"2022-Qq","Neurology",10045
1277,"2022-Qq","Neurology",9128
1369,"2022-Qq","Neurology",9923
1461,"2023-Qq","Neurology",11000
1551,"2023-Qq","Neurology",10131
1642,"2023-Qq","Neurology",9558
1734,"2023-Qq","Neurology",10131
0,"2019-Qq","Oncology",17008
90,"2019-Qq","Oncology",15500
181,"2019-Qq","Oncology",13497
273,"2019-Qq","Oncology",15307
365,"2020-Qq","Oncology",16865
456,"2020-Qq","Oncology",7494
547,"2020-Qq","Oncology",6481
639,"2020-Qq","Oncology",7706
731,"2021-Qq","Oncology",11787
821,"2021-Qq","Oncology",10801
912,"2021-Qq","Oncology",9362
1004,"2021-Qq","Oncology",10489
1096,"2022-Qq","Oncology",18419
1186,"2022-Qq","Oncology",17194
1277,"2022-Qq","Oncology",15152
1369,"2022-Qq","Oncology",16805
1461,"2023-Qq","Oncology",18329
1551,"2023-Qq","Oncology",16652
1642,"2023-Qq","Oncology",15214
1734,"2023-Qq","Oncology",16790
