"id","outcome","predictor"
1,"No","Low"
2,"No","Low"
3,"No","Low"
4,"No","Low"
5,"No","Low"
6,"No","Low"
7,"No","Low"
8,"No","Low"
9,"No","Low"
10,"No","Low"
11,"No","Low"
12,"No","Low"
13,"No","Low"
14,"No","Low"
15,"No","Low"
16,"No","Low"
17,"No","Low"
18,"No","Low"
19,"No","Low"
20,"No","Low"
21,"Yes","High"
22,"Yes","High"
23,"Yes","High"
24,"Yes","High"
25,"Yes","High"
26,"Yes","High"
27,"Yes","High"
28,"Yes","High"
29,"Yes","High"
30,"Yes","High"
31,"Yes","High"
32,"Yes","High"
33,"Yes","High"
34,"Yes","High"
35,"Yes","High"
36,"Yes","High"
37,"Yes","High"
38,"Yes","High"
39,"Yes","High"
40,"Yes","High"
