"id","datetime_utc","datetime_newyork","datetime_london","datetime_tokyo","unix_timestamp","event"
1,"2024-01-15 12:00:00","2024-01-15 07:00:00","2024-01-15 12:00:00","2024-01-15 21:00:00",1705320000,"Data_Upload"
2,"2024-01-24 07:15:47","2024-01-24 02:15:47","2024-01-24 07:15:47","2024-01-24 16:15:47",1706080547.36842,"Webinar"
3,"2024-02-02 02:31:34","2024-02-01 21:31:34","2024-02-02 02:31:34","2024-02-02 11:31:34",1706841094.73684,"Data_Upload"
4,"2024-02-10 21:47:22","2024-02-10 16:47:22","2024-02-10 21:47:22","2024-02-11 06:47:22",1707601642.10526,"Webinar"
5,"2024-02-19 17:03:09","2024-02-19 12:03:09","2024-02-19 17:03:09","2024-02-20 02:03:09",1708362189.47368,"Data_Upload"
6,"2024-02-28 12:18:56","2024-02-28 07:18:56","2024-02-28 12:18:56","2024-02-28 21:18:56",1709122736.8421,"Conference_Call"
7,"2024-03-08 07:34:44","2024-03-08 02:34:44","2024-03-08 07:34:44","2024-03-08 16:34:44",1709883284.21053,"Data_Upload"
8,"2024-03-17 02:50:31","2024-03-16 22:50:31","2024-03-17 02:50:31","2024-03-17 11:50:31",1710643831.57895,"Conference_Call"
9,"2024-03-25 22:06:18","2024-03-25 18:06:18","2024-03-25 22:06:18","2024-03-26 07:06:18",1711404378.94737,"Meeting"
10,"2024-04-03 17:22:06","2024-04-03 13:22:06","2024-04-03 18:22:06","2024-04-04 02:22:06",1712164926.31579,"Meeting"
11,"2024-04-12 12:37:53","2024-04-12 08:37:53","2024-04-12 13:37:53","2024-04-12 21:37:53",1712925473.68421,"Meeting"
12,"2024-04-21 07:53:41","2024-04-21 03:53:41","2024-04-21 08:53:41","2024-04-21 16:53:41",1713686021.05263,"Data_Upload"
13,"2024-04-30 03:09:28","2024-04-29 23:09:28","2024-04-30 04:09:28","2024-04-30 12:09:28",1714446568.42105,"Data_Upload"
14,"2024-05-08 22:25:15","2024-05-08 18:25:15","2024-05-08 23:25:15","2024-05-09 07:25:15",1715207115.78947,"Webinar"
15,"2024-05-17 17:41:03","2024-05-17 13:41:03","2024-05-17 18:41:03","2024-05-18 02:41:03",1715967663.1579,"Meeting"
16,"2024-05-26 12:56:50","2024-05-26 08:56:50","2024-05-26 13:56:50","2024-05-26 21:56:50",1716728210.52632,"Conference_Call"
17,"2024-06-04 08:12:37","2024-06-04 04:12:37","2024-06-04 09:12:37","2024-06-04 17:12:37",1717488757.89474,"Meeting"
18,"2024-06-13 03:28:25","2024-06-12 23:28:25","2024-06-13 04:28:25","2024-06-13 12:28:25",1718249305.26316,"Conference_Call"
19,"2024-06-21 22:44:12","2024-06-21 18:44:12","2024-06-21 23:44:12","2024-06-22 07:44:12",1719009852.63158,"Meeting"
20,"2024-06-30 18:00:00","2024-06-30 14:00:00","2024-06-30 19:00:00","2024-07-01 03:00:00",1719770400,"Data_Upload"
