"time_index","pattern_type","value","variance"
1,"Increasing",25.8489225952922,17.8391965535851
2,"Increasing",18.0112299396704,6.81973632880508
3,"Increasing",27.6294872994233,14.3888622392074
4,"Increasing",23.6031874263077,6.94815066025103
5,"Increasing",21.3833233378657,10.5774611847608
6,"Increasing",26.9784968050874,7.87259250049399
7,"Increasing",28.5954256064168,9.8051653336058
8,"Increasing",22.0199763649971,9.46249718177635
9,"Increasing",22.8931340483673,5.60589161789273
10,"Increasing",28.4073573943099,9.60061806234572
11,"Increasing",30.2801431452243,9.87269009233513
12,"Increasing",28.8445470281921,12.5165628684968
13,"Increasing",28.9567421556141,7.7065717434558
14,"Increasing",35.4030932459692,15.6944513838459
15,"Increasing",37.8026692902744,11.9523593552769
16,"Increasing",33.4659946217983,7.04119228136053
17,"Increasing",38.09885861131,6.73036005340046
18,"Increasing",34.3749135780319,12.8955058165118
19,"Increasing",35.8877278712167,10.3359312253686
20,"Increasing",40.3286092712651,5.69596295412929
21,"Increasing",39.8583880637151,4.46451094768819
22,"Increasing",40.576747276184,12.4036030526459
23,"Increasing",37.8783479823399,10.128390379268
24,"Increasing",43.022777124647,13.2400524233953
25,"Increasing",41.6701056393709,6.57347973174225
26,"Increasing",42.4772977427032,13.365618625712
27,"Increasing",50.9756933834122,7.92631807327341
28,"Increasing",43.637807549763,7.31091963125165
29,"Increasing",46.8200412992351,6.37124051163201
30,"Increasing",43.5041636812525,10.4272794599436
31,"Increasing",48.0695112376013,6.60569754705188
32,"Increasing",50.0108147386818,13.3212868668363
33,"Increasing",56.0658397910278,9.13397586538382
34,"Increasing",53.1062160392292,11.5341668567895
35,"Increasing",59.1707787622908,10.7054894995645
36,"Increasing",62.1745367216001,7.90231746285104
37,"Increasing",57.1070835450144,6.18690879108466
38,"Increasing",59.2942656242185,9.05408744874063
39,"Increasing",59.0924485102299,6.02607758136863
40,"Increasing",64.9555137160464,5.90221268531818
41,"Increasing",62.531882988863,10.9155526118573
42,"Increasing",61.202123919409,9.1705676748321
43,"Increasing",65.1193343358065,13.339233300694
44,"Increasing",68.1840165216931,12.9327757632954
45,"Increasing",63.397206842553,5.25229584303352
46,"Increasing",71.1040389233286,13.0367252623343
47,"Increasing",73.8435500623082,13.7373785239242
48,"Increasing",70.8572632529287,11.1512375952233
49,"Increasing",72.6854535869831,6.06531627848284
50,"Increasing",70.9151212281246,11.4077149812292
1,"Decreasing",87.7420271101167,13.8918710217036
2,"Decreasing",86.7008626880313,8.53287558611201
3,"Decreasing",79.1166009207264,11.10416530912
4,"Decreasing",75.4599677843503,14.538820950473
5,"Decreasing",68.2343677338009,13.5189572653414
6,"Decreasing",73.1539063079687,9.44368569913743
7,"Decreasing",68.9036941572937,15.1841802273746
8,"Decreasing",66.6333482578267,9.58722716661485
9,"Decreasing",62.7567138689182,6.92784023054121
10,"Decreasing",59.5013053788951,8.82288868310048
11,"Decreasing",56.7246834925408,12.1656385912457
12,"Decreasing",60.5631657460276,12.6999224952043
13,"Decreasing",57.0984801511783,13.5117045177802
14,"Decreasing",59.2934691747841,13.4387801860506
15,"Decreasing",57.4916597307787,10.4794525811
16,"Decreasing",59.9697511402881,10.7274004599797
17,"Decreasing",56.5373548241914,9.42072640102947
18,"Decreasing",57.2854714143945,10.4782045562494
19,"Decreasing",48.6832535454897,15.1624415623431
20,"Decreasing",55.0666436097624,5.06077636562007
21,"Decreasing",55.054600836108,14.543486977969
22,"Decreasing",54.4322307325203,9.13669717597925
23,"Decreasing",52.5710455614395,9.07718762267141
24,"Decreasing",46.3751692014345,12.8438961656723
25,"Decreasing",50.5137479480853,7.1059845612228
26,"Decreasing",43.500552349781,12.3698804581822
27,"Decreasing",48.0411545862512,10.5798285494562
28,"Decreasing",49.8987235735305,10.5923092713721
29,"Decreasing",51.3732153120932,8.55242470922082
30,"Decreasing",49.5788104380833,12.2716795561739
31,"Decreasing",45.9981489123769,12.6403572081901
32,"Decreasing",48.555477315749,8.2652538711462
33,"Decreasing",50.7232480062982,9.20522020343131
34,"Decreasing",44.648457342249,12.2935710924145
35,"Decreasing",45.6602462051883,12.0115055374271
36,"Decreasing",46.4895089668321,4.60725558667713
37,"Decreasing",43.9945852722131,10.4118193579683
38,"Decreasing",44.0062398448164,5.32317298276487
39,"Decreasing",47.6413022065326,12.43048332322
40,"Decreasing",47.63042860019,10.319168258915
41,"Decreasing",42.595975595197,8.95737570687851
42,"Decreasing",47.2675929021712,10.8797195780424
43,"Decreasing",38.73965196618,8.83101138572625
44,"Decreasing",39.5580730445727,12.4810262281658
45,"Decreasing",42.8473513287907,11.6864280973763
46,"Decreasing",41.6641405476848,5.19091603352806
47,"Decreasing",42.4269865107376,13.6922282630237
48,"Decreasing",40.4671755105558,13.3007310869322
49,"Decreasing",36.7542659154353,12.0378917283864
50,"Decreasing",42.1981370996482,14.3348145802861
1,"Stable",48.6750445341937,12.6695251309119
2,"Stable",56.0123010731731,7.74268237445765
3,"Stable",57.125414108977,5.62654485813594
4,"Stable",48.5083173709222,10.0385181842681
5,"Stable",56.5971202180734,17.7877303573234
6,"Stable",57.4634081984588,11.5404096158298
7,"Stable",40.238530497077,5.57175986399114
8,"Stable",54.1209896399257,9.45847884725853
9,"Stable",42.2767021969774,10.3374818919735
10,"Stable",51.6714924379863,11.7727558148685
11,"Stable",47.5118870486646,9.14252852569603
12,"Stable",49.0465804117999,14.9210541963658
13,"Stable",54.4300015958652,11.5572868558045
14,"Stable",49.2982716726403,10.009967337229
15,"Stable",42.2271731694701,6.54190474637886
16,"Stable",56.3599419531632,10.6013756640421
17,"Stable",43.795564169623,2.1953119020101
18,"Stable",57.3027065693742,9.49000721914099
19,"Stable",53.3970370948787,7.05163059768199
20,"Stable",51.6650049393073,11.2327640621668
21,"Stable",36.8347246688953,12.0457752753328
22,"Stable",41.792192484321,8.01637685363343
23,"Stable",40.9732948626972,7.15882716220476
24,"Stable",40.1322325455348,11.0480504414576
25,"Stable",41.7501828742053,7.61256664003235
26,"Stable",51.5851732080955,4.82329909811615
27,"Stable",49.7902355656584,7.05734050729378
28,"Stable",45.5715830395664,11.665425967565
29,"Stable",55.3359990383416,10.6740711593324
30,"Stable",46.0871266970377,0.916714358505797
31,"Stable",47.8860147790238,6.30873289101881
32,"Stable",47.2889189432324,12.927375688954
33,"Stable",42.5870297641301,11.0430576251352
34,"Stable",60.0104248919876,7.1482163565405
35,"Stable",58.2061336331617,12.2073861087966
36,"Stable",41.4100156283494,10.6765799195838
37,"Stable",48.3722747831421,10.5019451746957
38,"Stable",40.1957461293882,5.7581919338086
39,"Stable",52.0809105172268,4.24171601226792
40,"Stable",50.6117519705382,6.75656887682641
41,"Stable",47.4075263261763,15.9062736056016
42,"Stable",41.0510217687019,8.8333316899918
43,"Stable",46.4432479578368,8.84889578928232
44,"Stable",55.9828865758158,9.50361520548995
45,"Stable",40.6188560500542,10.1280401174258
46,"Stable",44.7922554580522,10.7632183965376
47,"Stable",50.4468575485536,13.1261743813718
48,"Stable",55.5905748309681,12.1354582888262
49,"Stable",46.7925306972636,17.2159627012543
50,"Stable",33.7985385821964,16.0040841063538
