"source","target","weight","group","interaction_type"
"Alice","Bob",8.5,"Family","Daily"
"Alice","Charlie",3.2,"Friend","Weekly"
"Bob","Charlie",4.1,"Family","Daily"
"Bob","Diana",5.7,"Friend","Monthly"
"Bob","Eva",2.9,"Colleague","Weekly"
"Charlie","Diana",3.8,"Friend","Monthly"
"Charlie","Frank",6.4,"Colleague","Daily"
"Diana","Eva",4.5,"Friend","Weekly"
"Diana","Grace",7.2,"Family","Daily"
"Eva","Frank",5.1,"Colleague","Monthly"
"Eva","Henry",3.6,"Family","Weekly"
"Frank","Grace",8.9,"Colleague","Daily"
"Frank","Ivy",2.3,"Friend","Monthly"
"Grace","Henry",6.7,"Family","Weekly"
"Grace","Jack",4.8,"Friend","Monthly"
"Henry","Ivy",5.4,"Colleague","Daily"
"Henry","Jack",7.1,"Family","Weekly"
"Ivy","Jack",3.9,"Friend","Monthly"
"Ivy","Alice",6.2,"Colleague","Daily"
"Jack","Alice",4.6,"Family","Weekly"
