"id","measurement_x","measurement_y","category","score"
1,14.5631642657938,22.6335443146863,"Category A",45.4348832307336
2,32.1019853134655,23.9603241338372,"Category A",72.9631798010539
3,19.655103263404,31.243003209659,"Category A",42.8254109503296
4,22.7032405149893,38.5044070820349,"Category A",54.1394643278888
5,31.6583305477459,34.4825363793315,"Category A",69.3916978390274
6,27.0488813884887,20.8834015659088,"Category A",56.3601605987116
7,27.3616825211051,25.6795755640541,"Category A",57.9164788065588
8,21.251506853365,18.9707277936232,"Category A",40.1925502678464
9,16.9915421798784,34.706375186118,"Category A",51.8251332901098
10,21.0427633720985,24.7736871028374,"Category A",35.1970541790582
11,27.5100527382016,29.9348021219008,"Category A",38.6660830662709
12,28.5859763526047,33.6548493492946,"Category A",32.5851506233994
13,25.2167759530846,29.2016901116474,"Category A",43.3579771457064
14,23.0292782677791,24.9028136227196,"Category A",55.0242167605936
15,26.9000241270398,30.6908323510454,"Category A",48.4901214778216
16,41.8878602371424,47.011977075928,"Category B",35.3669473555925
17,47.556936030037,69.2467496303902,"Category B",35.4017506156839
18,39.4931347168403,40.02498149613,"Category B",29.8882021030171
19,54.3070779978374,68.2220569243713,"Category B",56.2115360308161
20,31.4750543880783,58.428381562415,"Category B",54.1124364473762
21,52.0896890818376,51.4975285766864,"Category B",28.7905557422112
22,41.72345250942,56.6491621457345,"Category B",24.771041402164
23,51.2614152371109,54.7102648242339,"Category B",48.9487082907633
24,37.6985628391333,68.5148118506634,"Category B",43.0953645606755
25,43.3463256160333,68.2478933331043,"Category B",31.8928144478385
26,46.0540889526349,59.6010700878758,"Category B",65.606618271929
27,39.9525036788888,53.2948495372427,"Category B",49.0069248172119
28,42.3261167691447,55.9098717552481,"Category B",49.7021333219478
29,47.4752913744297,50.3133634801418,"Category B",59.233343350672
30,47.7424702489107,49.2556098205161,"Category B",56.305744548794
