"Case_ID","Rater_1","Rater_2","Rater_3"
"DIS_01","Category_1","Category_2","Category_3"
"DIS_02","Category_1","Category_2","Category_3"
"DIS_03","Category_1","Category_2","Category_3"
"DIS_04","Category_1","Category_2","Category_3"
"DIS_05","Category_1","Category_2","Category_3"
"DIS_06","Category_1","Category_2","Category_3"
"DIS_07","Category_1","Category_2","Category_3"
"DIS_08","Category_1","Category_2","Category_3"
"DIS_09","Category_1","Category_2","Category_3"
"DIS_10","Category_1","Category_2","Category_3"
"DIS_11","Category_1","Category_2","Category_3"
"DIS_12","Category_1","Category_2","Category_3"
"DIS_13","Category_1","Category_2","Category_3"
"DIS_14","Category_1","Category_2","Category_3"
"DIS_15","Category_1","Category_2","Category_3"
