"Stage","Risk"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Early","Low"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Intermediate","Medium"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
"Advanced","High"
