"source","target","weight","pathway","edge_type"
"TP53","CDKN2A",0.92,"Tumor Suppressor","Regulatory"
"TP53","BAX",0.88,"Tumor Suppressor","Regulatory"
"TP53","MDM2",0.85,"Tumor Suppressor","Regulatory"
"TP53","GADD45",0.78,"Tumor Suppressor","Regulatory"
"TP53","P21",0.95,"Tumor Suppressor","Regulatory"
"BRCA1","ATM",0.87,"DNA Repair","Regulatory"
"BRCA1","CHEK2",0.82,"DNA Repair","Regulatory"
"BRCA2","RAD51",0.9,"DNA Repair","Regulatory"
"BRCA2","PALB2",0.85,"DNA Repair","Regulatory"
"EGFR","PIK3CA",0.91,"Growth Factor","Regulatory"
"EGFR","KRAS",0.89,"Growth Factor","Regulatory"
"EGFR","BRAF",0.86,"Growth Factor","Regulatory"
"MYC","CDK4",0.84,"Oncogene","Regulatory"
"MYC","CCND1",0.88,"Oncogene","Regulatory"
"MYC","E2F1",0.79,"Oncogene","Regulatory"
"KRAS","PIK3CA",0.93,"Oncogene","Regulatory"
"KRAS","BRAF",0.9,"Oncogene","Regulatory"
"KRAS","MAPK",0.87,"Oncogene","Regulatory"
"PTEN","AKT",0.85,"Tumor Suppressor","Regulatory"
"PTEN","PIK3CA",0.91,"Tumor Suppressor","Regulatory"
"APC","CTNNB1",0.83,"Tumor Suppressor","Regulatory"
"RB1","CDK4",0.89,"Cell Cycle","Regulatory"
"RB1","E2F1",0.86,"Cell Cycle","Regulatory"
"CDKN2A","CDK4",0.88,"Cell Cycle","Regulatory"
"PIK3CA","AKT",0.94,"Growth Factor","Regulatory"
"PIK3CA","MTOR",0.9,"Growth Factor","Regulatory"
"BRAF","MEK",0.92,"Oncogene","Regulatory"
"ATM","TP53",0.87,"DNA Repair","Regulatory"
"CDK4","RB1",0.85,"Cell Cycle","Regulatory"
