"subject_id","var_a","var_b","var_c","var_d","var_e","var_f","var_g","group"
1,60.5084798370994,51.5010129923328,51.013527679089,NA,46.959594379572,32.1768996729367,31.5969038627427,"Group2"
2,43.9474182403691,41.5883122299985,58.6820327102458,58.9134184294695,39.8063562414052,50.9954970156673,50.7347083734051,"Group3"
3,38.5434928083146,51.7691548505729,56.3741048260331,58.6387767667931,38.9142583815671,48.3309982615155,48.3617830442002,"Group2"
4,60.1342038704411,54.8720291308322,45.0989652295393,13.716698837602,97.6917321711132,34.335282213857,43.0449833894341,"Group2"
5,70.8068058809845,58.215178756868,68.7758571410949,NA,49.3800173684214,34.6723151812584,37.3087795442713,"Group3"
6,62.5197749213522,65.0911658572161,56.3714593028744,37.703454494131,21.7492569548507,47.3838603906854,54.0163191916272,"Group2"
7,59.9501386120135,57.5897717213737,64.8543291414684,71.8535017171439,NA,40.2271126852746,36.6488349185904,"Group1"
8,31.9502405850615,33.7585168482888,38.7519994620026,34.4202460260555,56.8166844721415,56.3891825649895,51.0517904193054,"Group2"
9,54.2513111362157,58.9113532553366,55.5068886081379,63.9997577517823,50.0499941697903,49.2303610611773,46.5783416447403,"Group2"
10,61.4937227167045,58.3198155837718,46.7989362138627,32.239549831644,70.5782955366429,63.7123274118974,57.8375692006798,"Group3"
11,35.4728552326108,33.1009877923216,44.9545015936469,41.8797411376266,46.2313826061916,59.4695625055762,61.7435975516713,"Group1"
12,36.3783085137451,31.5973441700827,52.9087498790807,63.5852083204698,78.0121965802624,57.3455357940024,69.2638787178786,"Group3"
13,69.6178802450147,71.9597805528254,51.6903566414069,45.8404955333162,66.7343962974085,38.9527379781573,27.0763021138974,"Group3"
14,90.1380666702228,88.4754756583293,67.2194104472,83.4714342343665,63.138967890701,27.3066551814182,18.7242679770217,"Group3"
15,49.6466624419683,50.4359926384878,66.2525575269202,65.4298996351094,54.077839186362,60.9125724431433,51.7070530254617,"Group1"
16,49.2849332160351,57.0509554035387,35.7052795807917,29.601446878191,51.7645306757878,58.7074394281573,69.8544028392596,"Group3"
17,47.6340991257771,54.3207403254432,43.4411253381906,55.7135912156919,69.2781883311856,44.4867467576882,47.5826803054186,"Group1"
18,45.6529979287329,48.4549746400898,43.4445187633355,54.1820062162429,58.4953197154498,49.7316325958726,48.0975212451495,"Group2"
19,50.8043335303759,48.8436644409397,35.3170011409211,50.0157023593043,34.7942205549467,50.9266870204718,48.6536085106268,"Group2"
20,54.5071088050786,49.7565711548009,60.0973807346526,75.1759343175449,43.2530615074072,54.4435831624984,53.6993316777732,"Group1"
21,49.5035064923731,48.7498707909191,55.6454199130776,47.4736780459434,50.3600789675726,25.0559683398296,35.4942757834356,"Group3"
22,68.576277336133,60.4515325597093,64.6694831803204,57.206689511519,58.5557825347783,57.2894924082241,54.413257228035,"Group3"
23,59.0238087989475,48.8265352903415,53.4326311876863,54.3364165721515,45.5016494056927,62.843970145454,59.7203635712495,"Group1"
24,33.7849225589275,38.6692248571976,46.1757933663585,24.0145813045604,43.3772891598197,53.9309003382775,63.700150968908,"Group2"
