"supplier","customer","volume","industry","relationship_duration"
"Supplier_A","Manufacturer_1",1500,"Raw_Materials",5
"Supplier_A","Manufacturer_2",1200,"Raw_Materials",3
"Supplier_B","Manufacturer_1",1800,"Raw_Materials",7
"Supplier_B","Manufacturer_3",900,"Raw_Materials",2
"Manufacturer_1","Distributor_1",2200,"Manufacturing",8
"Manufacturer_1","Distributor_2",1900,"Manufacturing",6
"Manufacturer_2","Distributor_2",1600,"Manufacturing",4
"Manufacturer_2","Distributor_3",1300,"Manufacturing",3
"Distributor_1","Retailer_1",2500,"Distribution",9
"Distributor_1","Retailer_2",2100,"Distribution",5
"Distributor_2","Retailer_3",1800,"Distribution",6
"Distributor_2","Retailer_4",2000,"Distribution",4
"Retailer_1","Customer_1",800,"Retail",3
"Retailer_1","Customer_2",950,"Retail",7
"Retailer_2","Customer_3",1100,"Retail",2
"Retailer_2","Customer_4",850,"Retail",5
"Retailer_3","Customer_5",1200,"Retail",4
"Retailer_3","Customer_6",950,"Retail",6
