"time","obs_type","value","obs_id"
0.170100105460733,"Type A",102.22837076022,1
0.596022205427289,"Type A",102.15820983643,2
0.614700738806278,"Type B",99.259777458774,3
0.747040712740272,"Type B",101.507462274031,4
0.872759465128183,"Type B",101.653119921197,5
0.907913497649133,"Type B",95.4042635093942,6
0.934347794391215,"Type A",94.0375779672351,7
1.02981084492058,"Type C",94.8267899381708,8
1.77326478995383,"Type B",91.6321469627624,9
1.78559080464765,"Type C",96.6394801717641,10
1.89873607363552,"Type A",104.113094891622,11
1.92517715971917,"Type A",96.6888689440465,12
2.74427258875221,"Type B",92.2773835797655,13
3.10095903463662,"Type A",96.0647983021098,14
3.50308875786141,"Type A",91.2809434808331,15
3.5087148938328,"Type A",99.8082412744266,16
3.58742819167674,"Type A",90.3419147007922,17
3.96333226701245,"Type C",94.0267517239547,18
4.08615820575505,"Type A",88.445750733129,19
4.14963661693037,"Type B",86.4228168148988,20
4.22110334271565,"Type B",85.5001207269838,21
4.61363488342613,"Type C",91.743566232243,22
4.6641196240671,"Type A",86.7783778254884,23
4.81315418146551,"Type C",93.0711952470071,24
5.37299051648006,"Type B",91.4149339712111,25
5.38965184474364,"Type B",97.3204653093895,26
5.81834706477821,"Type A",88.6926185811594,27
5.85157078923658,"Type B",85.0582327032824,28
6.7934476188384,"Type A",97.3464550682842,29
7.18902282649651,"Type C",90.9593466207727,30
7.9172651655972,"Type C",86.4793573889335,31
8.39019435225055,"Type A",80.1205733619769,32
8.40574383037165,"Type C",83.0169508896665,33
8.7341796583496,"Type B",92.7797258904923,34
9.03282479150221,"Type A",79.8331585307881,35
9.21375807141885,"Type B",85.375253038403,36
9.28542408626527,"Type C",85.211840493184,37
9.31844462174922,"Type A",85.211965801559,38
9.64515073690563,"Type A",83.8049886957959,39
9.79280791245401,"Type A",80.7016475043307,40
11.132768210955,"Type C",82.6613339773245,41
11.2375530367717,"Type A",76.9808157005774,42
11.3801961997524,"Type B",82.6501723235413,43
11.5111281350255,"Type A",78.6180048473191,44
12.6726143434644,"Type C",81.535138283106,45
12.7071049110964,"Type C",72.6896142704486,46
12.8936361987144,"Type A",75.662600722386,47
12.9874887922779,"Type B",81.3913067482514,48
13.3111937716603,"Type A",82.5058489011854,49
13.4262455953285,"Type A",77.6949747801817,50
13.7002160167322,"Type A",74.9896730168551,51
13.7642531422898,"Type A",79.0959220102498,52
14.9004020681605,"Type A",76.3122417337177,53
15.0528455199674,"Type C",80.3131453125845,54
15.7841731188819,"Type C",83.431731007939,55
16.3379072537646,"Type B",73.1508915470988,56
17.9947085026652,"Type A",76.9926627999213,57
18.2685453444719,"Type A",72.3570338259711,58
21.0957470024005,"Type A",69.0581379452814,59
21.2268560100347,"Type B",67.9348800651079,60
21.5294829849154,"Type B",61.6147501141092,61
21.8175190035254,"Type A",65.7396257088607,62
21.946449293755,"Type B",61.0271358933148,63
22.5868523679674,"Type A",67.1297170791736,64
22.9874246474355,"Type B",57.6654503311832,65
23.424529354088,"Type C",69.482109763006,66
24.0191386360675,"Type A",67.8290108615387,67
24.23564247787,"Type B",67.8346340319379,68
24.9264590488747,"Type A",63.0679564521664,69
25.27069224976,"Type B",57.1682027209251,70
25.2913353359327,"Type A",58.5152779410529,71
26.0603178339079,"Type A",57.3680511910746,72
26.2645363342017,"Type C",53.0464427144638,73
26.906182714738,"Type C",51.4059186549138,74
27.2854723036289,"Type C",64.9657578298593,75
27.3099472094327,"Type B",54.8532488913973,76
27.7836871892214,"Type A",61.4280559409982,77
28.1066678557545,"Type C",49.1427931889788,78
28.4688574867323,"Type A",63.1862052439466,79
28.669916880317,"Type A",54.4585364436424,80
31.7924321978353,"Type A",61.5019496914944,81
32.5780400307849,"Type A",43.1120508874536,82
35.6128374347463,"Type B",41.4949892591499,83
36.1146401753649,"Type A",45.3803179394787,84
36.4358594198711,"Type B",42.8273443589613,85
36.4786577131599,"Type C",54.8413910236797,86
36.9494023988955,"Type B",50.7262224308674,87
38.1284559774213,"Type A",45.7980589152477,88
42.4405911960639,"Type A",39.618590549929,89
46.8937771790661,"Type A",39.2740519299112,90
49.2464662459679,"Type C",36.650480178722,91
50.900628794916,"Type A",38.1949315173414,92
52.7786102332175,"Type B",38.6947393047777,93
53.1413532071747,"Type B",33.7517798199662,94
53.3749580406584,"Type B",39.2467956858029,95
53.6717490712181,"Type C",42.1706494737881,96
53.7289594393224,"Type B",37.667915988916,97
54.1508026327938,"Type B",40.1137945953391,98
57.6605480792932,"Type C",34.9149431972888,99
59.2135821538977,"Type A",35.3895933397098,100
61.9226203509606,"Type B",25.883184660469,101
62.0964569528587,"Type C",31.1794697311533,102
66.5387692046352,"Type C",29.1055121307229,103
70.4546447540633,"Type C",17.2045278629127,104
70.7340680249035,"Type C",33.9087389225532,105
75.3917543799616,"Type B",21.0396252620329,106
76.857082513161,"Type C",11.9026354129776,107
78.2467437698506,"Type A",22.751466709526,108
79.3076747492887,"Type A",25.6519315049761,109
80.2233951236121,"Type A",19.7207395121961,110
80.7097204774618,"Type A",20.4856826337915,111
82.3330340767279,"Type B",24.6247532150444,112
83.9164501265623,"Type C",18.6046788429649,113
86.9659056747332,"Type B",14.0802207574493,114
87.4241606844589,"Type B",17.5976163680479,115
88.5621243086644,"Type C",23.570971550938,116
91.3781934836879,"Type C",17.2786430455192,117
94.5484834630042,"Type B",18.0014890191717,118
97.1964564872906,"Type A",26.6318281020071,119
97.7075058990158,"Type A",12.6031249142238,120
