"case_name","relationship_type","description","outcome","raters","kappa0","kappa1","effect_size","proportions","alpha","power","expected_pattern","teaching_point"
"minimal_effect","effect_size","Minimal detectable effect size","2",2,0.5,0.51,0.01,"0.50, 0.50",0.05,0.8,"Very large sample size required","Small effect sizes require much larger samples"
"small_effect","effect_size","Small but clinically relevant effect","2",2,0.5,0.55,0.05,"0.50, 0.50",0.05,0.8,"Large sample size required","Detecting small effects is resource-intensive"
"medium_effect","effect_size","Medium effect size (Cohen's guideline)","2",2,0.4,0.6,0.2,"0.30, 0.70",0.05,0.8,"Moderate sample size","Medium effects balance feasibility and clinical importance"
"large_effect","effect_size","Large effect size","2",2,0.3,0.7,0.4,"0.20, 0.80",0.05,0.8,"Small sample size sufficient","Large effects detectable with modest samples"
"very_large_effect","effect_size","Very large effect (nearly perfect vs poor)","2",2,0.2,0.8,0.6,"0.15, 0.85",0.05,0.8,"Minimal sample size needed","Dramatic improvements easy to demonstrate"
"low_power_60","power","Low power (60%) - underpowered","3",2,0.5,0.7,0.2,"0.33, 0.33, 0.34",0.05,0.6,"Smallest sample but risky","Underpowered studies waste resources"
"conventional_power_80","power","Conventional power (80%)","3",2,0.5,0.7,0.2,"0.33, 0.33, 0.34",0.05,0.8,"Standard sample size","80% power is research standard"
"high_power_90","power","High power (90%)","3",2,0.5,0.7,0.2,"0.33, 0.33, 0.34",0.05,0.9,"Larger sample for safety","High power reduces false negative risk"
"very_high_power_95","power","Very high power (95%)","3",2,0.5,0.7,0.2,"0.33, 0.33, 0.34",0.05,0.95,"Much larger sample","Diminishing returns beyond 90% power"
"liberal_alpha_10","alpha","Liberal alpha (0.10) - less stringent","2",3,0.6,0.8,0.2,"0.25, 0.75",0.1,0.8,"Smaller sample size","Less stringent testing allows smaller studies"
"conventional_alpha_05","alpha","Conventional alpha (0.05)","2",3,0.6,0.8,0.2,"0.25, 0.75",0.05,0.8,"Standard sample size","0.05 is conventional significance level"
"strict_alpha_01","alpha","Strict alpha (0.01) - Bonferroni level","2",3,0.6,0.8,0.2,"0.25, 0.75",0.01,0.8,"Larger sample required","Strict testing protects against false positives"
"very_strict_alpha_001","alpha","Very strict alpha (0.001)","2",3,0.6,0.8,0.2,"0.25, 0.75",0.001,0.8,"Much larger sample needed","Extreme stringency for critical decisions only"
"two_raters","raters","Two raters (minimum for agreement)","4",2,0.55,0.75,0.2,"0.25, 0.25, 0.25, 0.25",0.05,0.8,"Baseline sample size","Simplest agreement design"
"three_raters","raters","Three raters (enhanced reliability)","4",3,0.55,0.75,0.2,"0.25, 0.25, 0.25, 0.25",0.05,0.8,"Adjusted sample size","Multiple raters improve generalizability"
"four_raters","raters","Four raters (comprehensive)","4",4,0.55,0.75,0.2,"0.25, 0.25, 0.25, 0.25",0.05,0.8,"Further adjusted sample","More raters = more robust estimates"
"five_raters","raters","Five raters (maximum)","4",5,0.55,0.75,0.2,"0.25, 0.25, 0.25, 0.25",0.05,0.8,"Maximum adjustment","Diminishing returns beyond 4-5 raters"
"balanced_props","proportions","Balanced category proportions","3",2,0.55,0.75,0.2,"0.33, 0.33, 0.34",0.05,0.8,"Standard sample size","Balanced designs most efficient"
"moderately_unbalanced","proportions","Moderately unbalanced categories","3",2,0.55,0.75,0.2,"0.20, 0.30, 0.50",0.05,0.8,"Slightly larger sample","Imbalance reduces efficiency"
"highly_unbalanced","proportions","Highly unbalanced categories","3",2,0.55,0.75,0.2,"0.10, 0.20, 0.70",0.05,0.8,"Noticeably larger sample","Severe imbalance problematic"
"extreme_imbalance","proportions","Extreme category imbalance","3",2,0.55,0.75,0.2,"0.05, 0.15, 0.80",0.05,0.8,"Much larger sample needed","Rare categories need oversampling"
"binary_standard","outcome_categories","Binary outcome (simplest)","2",2,0.5,0.7,0.2,"0.30, 0.70",0.05,0.8,"Smallest sample for given effect","Binary outcomes most efficient"
"three_category_standard","outcome_categories","Three categories","3",2,0.5,0.7,0.2,"0.25, 0.40, 0.35",0.05,0.8,"Larger sample than binary","More categories = more complex agreement"
"four_category_standard","outcome_categories","Four categories","4",2,0.5,0.7,0.2,"0.20, 0.25, 0.30, 0.25",0.05,0.8,"Larger still","Fine-grained scales need more subjects"
"five_category_standard","outcome_categories","Five categories (maximum)","5",2,0.5,0.7,0.2,"0.15, 0.20, 0.30, 0.25, 0.10",0.05,0.8,"Largest sample needed","Maximum complexity requires largest sample"
