"id","outcome","var1","var2"
1,"Event","Group1",113.52463864061
2,"Event","Group4",62.61177939484
3,"NoEvent","Group1",78.6289502748829
4,"NoEvent","Group5",97.4798916813129
5,"NoEvent","Group2",85.2743116314267
6,"Event","Group3",96.1751638163102
7,"NoEvent","Group1",76.033994732306
8,"Event","Group5",83.5149076298785
9,"NoEvent","Group2",81.6093465765086
10,"NoEvent","Group2",65.122633125562
11,"Event","Group4",107.660748485235
12,"NoEvent","Group1",89.1786115347531
13,"NoEvent","Group1",88.8811780433031
14,"Event","Group2",122.17917062555
15,"Event","Group3",113.354871896735
16,"Event","Group1",86.1264192727603
17,"NoEvent","Group1",117.59985609424
18,"Event","Group4",92.4205328562296
19,"NoEvent","Group5",91.3750273479258
20,"Event","Group4",103.32889399364
21,"Event","Group1",102.810392093336
22,"NoEvent","Group1",97.849074546899
23,"Event","Group2",94.9602478137696
24,"Event","Group1",108.000407688947
25,"Event","Group2",119.883404605843
26,"Event","Group1",92.1225282008981
27,"Event","Group1",129.035245507605
28,"Event","Group1",83.3000574085271
29,"NoEvent","Group1",140.029143066992
30,"NoEvent","Group3",116.405860480379
31,"Event","Group1",92.7694928364251
32,"NoEvent","Group2",57.4869636019994
33,"NoEvent","Group1",92.0390110623748
34,"NoEvent","Group3",93.0480415361866
35,"NoEvent","Group1",128.899046176667
36,"Event","Group5",107.524721477976
37,"NoEvent","Group2",63.5776893585105
38,"NoEvent","Group5",105.45374542231
39,"NoEvent","Group2",81.1438453100349
40,"Event","Group4",65.9821379553722
41,"Event","Group2",118.380735264586
42,"NoEvent","Group3",112.034114315007
43,"NoEvent","Group4",91.9995455155532
44,"NoEvent","Group4",128.749433610575
45,"Event","Group5",93.7558925947308
46,"Event","Group3",66.2923121056916
47,"NoEvent","Group5",118.21904182145
48,"NoEvent","Group5",86.4999834284691
49,"Event","Group1",102.746231332959
50,"Event","Group4",81.5351640502758
51,"NoEvent","Group4",73.9108050252064
52,"NoEvent","Group4",108.828652505491
53,"NoEvent","Group2",82.0262593874697
54,"Event","Group2",89.1685580049806
55,"Event","Group1",114.481638061235
56,"NoEvent","Group2",48.7524234644164
57,"NoEvent","Group2",81.2556465094964
58,"Event","Group1",130.591212964728
59,"Event","Group2",99.892277238214
60,"Event","Group4",66.3363261927968
61,"NoEvent","Group3",99.0116243995014
62,"NoEvent","Group4",100.909862178955
63,"NoEvent","Group2",84.4825943439607
64,"NoEvent","Group5",86.2932378751619
65,"NoEvent","Group1",99.2195033129204
66,"NoEvent","Group1",116.79485740685
67,"NoEvent","Group2",83.1718396591249
68,"NoEvent","Group2",114.324565523228
69,"Event","Group5",62.6506869408458
70,"Event","Group5",139.817134394156
71,"Event","Group3",115.4217299172
72,"Event","Group2",87.5480378397513
73,"NoEvent","Group1",97.928108992818
74,"Event","Group2",75.3492335884039
75,"NoEvent","Group1",81.3418427445352
76,"NoEvent","Group5",105.950370290529
77,"NoEvent","Group3",58.7094807910227
78,"Event","Group3",113.544984449821
79,"Event","Group1",116.727661158287
80,"NoEvent","Group5",102.444877529808
81,"Event","Group2",84.2350072562082
82,"NoEvent","Group4",112.672740312778
83,"NoEvent","Group2",95.9341300363872
84,"NoEvent","Group2",135.51550025172
85,"Event","Group4",110.067082993558
86,"NoEvent","Group2",137.198913873956
87,"NoEvent","Group2",87.810139088594
88,"Event","Group5",123.061106449755
89,"Event","Group4",119.386983145168
90,"NoEvent","Group5",112.746063141485
91,"NoEvent","Group3",135.44335385017
92,"NoEvent","Group2",123.56621129244
93,"NoEvent","Group4",122.014052723227
94,"NoEvent","Group1",127.538961517095
95,"NoEvent","Group1",85.6546925310021
96,"NoEvent","Group1",113.770254751559
97,"Event","Group4",125.362029135682
98,"NoEvent","Group2",62.5582244311116
99,"Event","Group5",124.961658962538
100,"Event","Group1",78.4539918111095
101,"Event","Group3",70.5166086668629
102,"Event","Group1",97.9447749431241
103,"NoEvent","Group2",65.7026770539238
104,"Event","Group2",84.5119672557307
105,"Event","Group4",116.951079357794
106,"Event","Group1",101.664704733141
107,"Event","Group4",125.701699371665
108,"NoEvent","Group5",105.520898359071
109,"NoEvent","Group5",65.7771450915182
110,"Event","Group1",77.0089995691266
111,"NoEvent","Group1",103.195726392824
112,"NoEvent","Group4",91.4557462616955
113,"NoEvent","Group5",118.14004407818
114,"Event","Group4",103.017979256617
115,"NoEvent","Group3",77.8094547302292
116,"Event","Group5",89.0238253772066
117,"NoEvent","Group1",120.375769100009
118,"Event","Group3",81.0917583934359
119,"Event","Group3",69.9936829384648
120,"NoEvent","Group3",111.303281261183
121,"Event","Group2",103.654775358495
122,"Event","Group1",84.0654383618335
123,"Event","Group4",99.0762702990094
124,"Event","Group2",103.072534896695
125,"Event","Group3",84.6675117126317
126,"Event","Group3",107.295066646774
127,"NoEvent","Group5",86.1296206068334
128,"NoEvent","Group5",93.1368769588122
129,"NoEvent","Group5",114.856986758682
