"GroupA","GroupB"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 1","Type X"
"Cat 1","Type Y"
"Cat 1","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 2","Type X"
"Cat 2","Type Y"
"Cat 2","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
"Cat 3","Type X"
"Cat 3","Type Y"
"Cat 3","Type Z"
