"time_point","value","temperature"
1,57.3547922357333,21.500465625539
2,48.1765091430196,21.6407590795529
3,53.3156420566867,19.8833519731442
4,55.1643130248052,23.0167369285987
5,54.521341615705,20.7715032070548
6,52.4693774195426,21.7994412326412
7,61.0576099871947,21.5103971798442
8,53.5267048079345,22.0297181007436
9,64.5921185693852,22.538173763384
10,54.6864295047379,22.6435739124207
11,62.0243482711174,22.6485295293169
12,67.4332269635055,22.9041899858437
13,49.5556964944383,22.4052393204049
14,55.6060561659131,22.4521320592775
15,56.8333933180317,21.3313858798974
16,61.1797519903504,22.6163870822507
17,57.0787353929196,22.4623441734796
18,45.7177228954761,25.6234338929794
19,47.2976653571224,21.4767840318725
20,66.600566728651,22.8651484990357
21,58.9668070296076,21.0960030326303
22,52.0934578301,20.955053470022
23,60.6404132212019,22.3618180227272
24,68.073373495863,21.0297504067694
25,71.9759673063248,21.7935938180072
26,60.847654341969,21.1182452340386
27,62.2136530861554,20.668468034252
28,55.1841845740261,18.9802866050486
29,66.8004867741564,19.493000037282
30,61.8000256201994,20.6028764652975
31,67.7772506162061,20.6923625817234
32,69.5241866861441,19.3320002161638
33,71.6755176098496,19.5268258016356
34,63.955368122964,20.3562663372995
35,70.0247756164898,20.3875060599073
36,59.4149566046333,17.5753249017096
37,64.5777049581025,18.2931720170243
38,64.7454620291174,19.3659247280915
39,57.4289617502668,17.4669719418818
40,70.1806130344613,17.6771230291372
41,71.5299930010013,17.4590613685697
42,69.1947135072567,16.4975936648528
43,75.2908161784976,16.8068181848669
44,68.3664758646171,17.1157488992432
45,65.6585947779035,16.6535407979468
46,75.1640901294436,18.1323130124678
47,69.4430341190666,16.5192373856537
48,81.2205063086063,16.5783371408917
49,72.3427689869333,17.7495047386791
50,78.278239417011,16.0668587628397
51,77.1096263260197,17.1818574778656
52,72.0808052955981,15.798091210492
53,84.3786375989599,18.670367222564
54,80.2144965285866,17.408060835958
55,77.948803232998,17.4155336986166
56,79.3827537364573,16.8679477583968
57,81.8964440802764,18.3401813384298
58,79.4491644328954,17.8059112838071
59,64.5345495842353,18.3448776755589
60,81.4244147676533,20.4494287509878
61,78.6638267862951,19.2779866169416
62,81.926152824328,18.6789494073968
63,84.4091186368275,20.2136485839204
64,88.9986841364634,19.9869091989235
65,78.8635397026277,21.2353735122508
66,89.5127131602207,22.3670460182711
67,85.1792405987604,20.2218572507403
68,89.1925304934881,21.9369903509961
69,89.1036428414532,21.8202173518431
70,88.6043908143343,22.8665253784209
71,80.2844053071607,21.9571289814314
72,85.5490680669465,23.2176226600081
73,89.6175908099977,20.806254000549
74,82.2323832111383,24.3855832087483
75,84.7858559271307,23.6787779088428
76,90.9049824884084,22.7529830272087
77,92.340893689173,21.5154975714918
78,91.3188379427008,23.6386387361658
79,85.0711185129516,23.4800178893341
80,84.5010955067607,22.9617191134488
81,98.0635350490246,23.0611253253977
82,92.2896071876602,22.2380826996895
83,91.9422011457979,23.0753222338991
84,91.3955173123045,22.8584510639844
85,86.5283555241974,22.1162019645279
86,96.0599844902019,20.8669546387292
87,92.4143007712674,22.6896565086866
88,93.0862164683404,22.3089482009493
89,99.1667316428558,20.6667559765722
90,99.1088655525412,19.641767293719
91,102.460581879671,21.1622536676357
92,93.6191303847266,20.3235817643279
93,99.7517428036315,20.6259749738856
94,103.95555228195,18.7803238108755
95,91.9460556027605,18.8153761942342
96,93.6960370656108,20.562794510011
97,92.8413065957312,19.5884930254829
98,91.703930002488,19.4870501489635
99,99.8999127662058,20.442620764828
100,103.266021698246,18.4967580959343
