"case_name","relationship_type","description","outcome","raters","kappa0","kappaL","kappaU","ci_width","proportions","alpha","expected_pattern","teaching_point"
"very_narrow_ci","ci_width","Very narrow CI requirement (high precision)","2",2,0.7,0.67,0.73,0.06,"0.50, 0.50",0.05,"Very large sample size required","Narrow CIs require much larger samples for precise estimation"
"narrow_ci","ci_width","Narrow CI requirement","2",2,0.7,0.63,0.77,0.14,"0.50, 0.50",0.05,"Large sample size required","Narrower CIs need more subjects than wider CIs"
"moderate_ci","ci_width","Moderate CI width (standard precision)","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Moderate sample size required","Standard CI width (±0.10) provides reasonable precision with moderate n"
"wide_ci","ci_width","Wide CI acceptable (lower precision)","2",2,0.7,0.55,0.85,0.3,"0.50, 0.50",0.05,"Smaller sample size required","Wider CIs acceptable for pilot studies require fewer subjects"
"very_wide_ci","ci_width","Very wide CI (pilot study)","2",2,0.7,0.5,0.9,0.4,"0.50, 0.50",0.05,"Very small sample size","Very wide CIs for initial feasibility studies need minimal samples"
"low_kappa_agreement","kappa0_value","Low expected agreement","2",2,0.3,0.2,0.4,0.2,"0.50, 0.50",0.05,"Larger sample needed for low kappa","Lower kappa values have higher variance, requiring larger samples"
"moderate_kappa_agreement","kappa0_value","Moderate expected agreement","2",2,0.5,0.4,0.6,0.2,"0.50, 0.50",0.05,"Moderate sample size","Moderate kappa has moderate variance"
"good_kappa_agreement","kappa0_value","Good expected agreement","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Smaller sample needed for high kappa","Higher kappa values have lower variance, requiring fewer subjects"
"excellent_kappa_agreement","kappa0_value","Excellent expected agreement","2",2,0.85,0.75,0.95,0.2,"0.50, 0.50",0.05,"Small sample size","Very high kappa has low variance, minimal sample needed"
"alpha_10","alpha_level","Liberal alpha (90% CI)","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.1,"Smallest sample size","90% CI requires fewer subjects than 95% CI"
"alpha_05","alpha_level","Standard alpha (95% CI)","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Moderate sample size","95% CI is standard for most clinical studies"
"alpha_01","alpha_level","Stringent alpha (99% CI)","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.01,"Larger sample size","99% CI requires more subjects for same precision"
"alpha_001","alpha_level","Very stringent alpha (99.9% CI)","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.001,"Very large sample size","Higher confidence levels need substantially more subjects"
"two_raters","rater_number","Standard two-rater design","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Baseline sample size","Two raters is most common and efficient design"
"three_raters","rater_number","Three-rater design","2",3,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Potentially different sample size","Three raters provide more information per subject"
"four_raters","rater_number","Four-rater design","2",4,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Potentially smaller sample size","Multiple raters can reduce required subjects but increase cost"
"five_raters","rater_number","Five-rater design","2",5,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"More raters may reduce n","Many raters provide rich data but practical constraints apply"
"balanced_props","proportion_balance","Perfectly balanced categories","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Optimal sample efficiency","Balanced proportions maximize statistical efficiency"
"moderate_imbalance","proportion_balance","Moderately imbalanced","2",2,0.7,0.6,0.8,0.2,"0.30, 0.70",0.05,"Slightly larger sample needed","Moderate imbalance increases sample size modestly"
"severe_imbalance","proportion_balance","Severely imbalanced (rare outcome)","2",2,0.7,0.6,0.8,0.2,"0.10, 0.90",0.05,"Much larger sample required","Rare outcomes require substantially more subjects for same precision"
"extreme_imbalance","proportion_balance","Extreme imbalance (very rare)","2",2,0.7,0.6,0.8,0.2,"0.05, 0.95",0.05,"Very large sample needed","Extremely rare outcomes dramatically increase required sample size"
"two_categories","category_number","Binary classification","2",2,0.7,0.6,0.8,0.2,"0.50, 0.50",0.05,"Baseline sample size","Binary outcomes have simplest structure"
"three_categories","category_number","Three-level ordinal","3",2,0.7,0.6,0.8,0.2,"0.33, 0.34, 0.33",0.05,"Larger sample than binary","More categories increase complexity and sample requirements"
"four_categories","category_number","Four-level ordinal","4",2,0.7,0.6,0.8,0.2,"0.25, 0.25, 0.25, 0.25",0.05,"Even larger sample needed","Additional categories further increase sample size"
"five_categories","category_number","Five-level ordinal","5",2,0.7,0.6,0.8,0.2,"0.20, 0.20, 0.20, 0.20, 0.20",0.05,"Largest sample required","Many categories require most subjects for same precision"
