"month_numeric","month_label","service_area","satisfaction_score","response_count","weighted_satisfaction"
0,"2021-01","Emergency",73.3,182,133.406
31,"2021-02","Emergency",74.2,136,100.912
59,"2021-03","Emergency",79.1,159,125.769
90,"2021-04","Emergency",72.4,178,128.872
120,"2021-05","Emergency",72.3,157,113.511
151,"2021-06","Emergency",75.4,152,114.608
181,"2021-07","Emergency",74.4,162,120.528
212,"2021-08","Emergency",65.9,145,95.555
243,"2021-09","Emergency",71.1,115,81.765
273,"2021-10","Emergency",71.9,140,100.66
304,"2021-11","Emergency",73.2,131,95.892
334,"2021-12","Emergency",77.6,160,124.16
365,"2022-01","Emergency",71.9,160,115.04
396,"2022-02","Emergency",76.2,163,124.206
424,"2022-03","Emergency",73.8,137,101.106
455,"2022-04","Emergency",77.2,171,132.012
485,"2022-05","Emergency",73.4,162,118.908
516,"2022-06","Emergency",74.9,127,95.123
546,"2022-07","Emergency",75.1,131,98.381
577,"2022-08","Emergency",75.3,129,97.137
608,"2022-09","Emergency",72.7,144,104.688
638,"2022-10","Emergency",73.9,113,83.507
669,"2022-11","Emergency",74.9,123,92.127
699,"2022-12","Emergency",75.6,156,117.936
730,"2023-01","Emergency",78.5,158,124.03
761,"2023-02","Emergency",75.1,158,118.658
789,"2023-03","Emergency",76.2,169,128.778
820,"2023-04","Emergency",79.3,159,126.087
850,"2023-05","Emergency",74,130,96.2
881,"2023-06","Emergency",79.7,132,105.204
911,"2023-07","Emergency",72.6,150,108.9
942,"2023-08","Emergency",75.5,120,90.6
973,"2023-09","Emergency",75.3,157,118.221
1003,"2023-10","Emergency",81.7,159,129.903
1034,"2023-11","Emergency",74.6,120,89.52
1064,"2023-12","Emergency",75.4,166,125.164
0,"2021-01","Surgery",87.1,85,74.035
31,"2021-02","Surgery",88.8,92,81.696
59,"2021-03","Surgery",88.8,94,83.472
90,"2021-04","Surgery",89.5,86,76.97
120,"2021-05","Surgery",86.3,76,65.588
151,"2021-06","Surgery",84.5,79,66.755
181,"2021-07","Surgery",90.1,77,69.377
212,"2021-08","Surgery",81.4,56,45.584
243,"2021-09","Surgery",81.7,57,46.569
273,"2021-10","Surgery",81.1,71,57.581
304,"2021-11","Surgery",86.5,70,60.55
334,"2021-12","Surgery",85.5,76,64.98
365,"2022-01","Surgery",89.4,79,70.626
396,"2022-02","Surgery",91.3,70,63.91
424,"2022-03","Surgery",98.4,86,84.624
455,"2022-04","Surgery",86.9,83,72.127
485,"2022-05","Surgery",93.5,81,75.735
516,"2022-06","Surgery",89,74,65.86
546,"2022-07","Surgery",83.6,87,72.732
577,"2022-08","Surgery",92.2,70,64.54
608,"2022-09","Surgery",90.4,66,59.664
638,"2022-10","Surgery",88.3,74,65.342
669,"2022-11","Surgery",93.7,77,72.149
699,"2022-12","Surgery",90.8,83,75.364
730,"2023-01","Surgery",90.6,70,63.42
761,"2023-02","Surgery",95.7,94,89.958
789,"2023-03","Surgery",97.2,87,84.564
820,"2023-04","Surgery",87.7,88,77.176
850,"2023-05","Surgery",93.5,81,75.735
881,"2023-06","Surgery",94.2,76,71.592
911,"2023-07","Surgery",91.3,79,72.127
942,"2023-08","Surgery",87.9,75,65.925
973,"2023-09","Surgery",86.9,71,61.699
1003,"2023-10","Surgery",88.2,78,68.796
1034,"2023-11","Surgery",91.1,85,77.435
1064,"2023-12","Surgery",91.2,73,66.576
0,"2021-01","Maternity",88.4,57,50.388
31,"2021-02","Maternity",90.5,62,56.11
59,"2021-03","Maternity",87.8,66,57.948
90,"2021-04","Maternity",94.1,61,57.401
120,"2021-05","Maternity",90.3,63,56.889
151,"2021-06","Maternity",85.6,54,46.224
181,"2021-07","Maternity",88.5,60,53.1
212,"2021-08","Maternity",86.3,54,46.602
243,"2021-09","Maternity",85.3,50,42.65
273,"2021-10","Maternity",85.2,50,42.6
304,"2021-11","Maternity",94.4,55,51.92
334,"2021-12","Maternity",94.1,61,57.401
365,"2022-01","Maternity",90.4,64,57.856
396,"2022-02","Maternity",94.2,64,60.288
424,"2022-03","Maternity",94.5,61,57.645
455,"2022-04","Maternity",96,73,70.08
485,"2022-05","Maternity",91.5,65,59.475
516,"2022-06","Maternity",96.7,57,55.119
