"case_id","entropy","contrast","correlation","energy","homogeneity","variance","dissimilarity","asm","idm","sum_average","sum_entropy","difference_variance","difference_entropy","glcm_mean","glcm_std","cluster_shade","cluster_prominence","max_correlation","sum_variance","difference_mean","information_correlation_1","information_correlation_2","inverse_difference","normalized_inverse_difference","inverse_difference_moment","tissue_type","staining_method"
"HDIM_001",2.82518374717541,6.95423271074536,0.120364110379599,0.197700747350813,0.387139088935325,6.13013809576165,5.08404263879101,0.0390855855030698,0.387139088935325,3.7567461657501,3.28965068967663,4.55916433500682,2.20237298880284,2.84030687301742,2.47591156864732,19.8740263293403,8.05750481569308,0.220364110379599,6.74315190533782,5.08404263879101,2.26014699774033,2.54266537245787,0.387139088935325,0.348425180041793,0.387139088935325,"Test","Multiple"
"HDIM_002",3.0133139771574,6.45153577662706,0.0933834075887358,0.150915775380887,0.413962226484541,7.08728400548734,5.29458251729293,0.0227755712588144,0.413962226484541,3.53270770231891,3.41160883536118,5.02443315703914,2.57728695453634,3.17207600626519,2.66219533571211,18.7256012537197,9.00711083030586,0.193383407588736,7.79601240603607,5.29458251729293,2.41065118172592,2.71198257944166,0.413962226484541,0.372566003836087,0.413962226484541,"Test","Multiple"
"HDIM_003",1.81011853146639,3.62729017365153,0.323466690868035,0.459436091462296,0.602501138282034,3.56981268625236,2.81236432012854,0.211081522138151,0.602501138282034,2.19722225480049,1.9112805070958,2.35223494222603,1.54316533586791,1.76479551349138,1.88939479364487,6.75399378516553,3.35753793405445,0.423466690868035,3.9267939548776,2.81236432012854,1.44809482517311,1.62910667831975,0.602501138282034,0.542251024453831,0.602501138282034,"Test","Multiple"
"HDIM_004",3.13801397698214,7.85394487800456,0.268323606860443,0.200420676786398,0.275568035546939,6.5983699831304,5.39242083337611,0.0401684476835177,0.275568035546939,3.86529577831402,3.36280521903555,4.55274741065976,3.07378634808718,3.18851018416817,2.56872925454015,24.3849428518269,9.90988242447995,0.368323606860443,7.25820698144344,5.39242083337611,2.51041118158571,2.82421257928393,0.275568035546939,0.248011231992245,0.275568035546939,"Test","Multiple"
"HDIM_005",2.49541018171259,6.10988904853468,0.0832042342294003,0.222060008650249,0.426801710333797,4.24378785205317,4.84478963476024,0.0493106474417486,0.426801710333797,3.10840078984625,2.85729353790494,2.28177776240646,2.42264514987928,2.44735288559558,2.06004559465396,15.2792963432804,6.13373567320498,0.1832042342294,4.66816663725849,4.84478963476024,1.99632814537007,2.24586916354133,0.426801710333797,0.384121539300417,0.426801710333797,"Test","Multiple"
"HDIM_006",2.789730091068,6.33252360607367,0.0907714777197418,0.30927569513622,0.402968098570217,6.19485640782637,4.70863923760689,0.0956514556019923,0.402968098570217,3.06021380808526,2.90920158733509,4.41947316834882,2.49917869170162,2.83078995146905,2.48894684712759,17.569372324373,7.85721518037811,0.190771477719742,6.81434204860901,4.70863923760689,2.2317840728544,2.5107570819612,0.402968098570217,0.362671288713195,0.402968098570217,"Test","Multiple"
"HDIM_007",2.51538756967016,6.03727585774125,0.200571379664485,0.19573972514152,0.412471206570921,5.18005317588252,4.61786809966696,0.0383140399984776,0.412471206570921,2.95024837994141,2.99880702914299,3.91818210333683,2.01838394201425,2.38207712063348,2.27597301738894,15.1631372622312,6.44257787949666,0.300571379664485,5.69805849347077,4.61786809966696,2.01231005573613,2.26384881270314,0.412471206570921,0.371224085913829,0.412471206570921,"Test","Multiple"
"HDIM_008",2.39328292601414,5.53180968611819,0.258277575669008,0.372198349862931,0.438387786892489,5.27034052416928,4.06608363326047,0.138531611640689,0.438387786892489,2.50445572359277,2.75848140956005,3.34826008867293,2.20899529097935,2.3311703151612,2.29572222278073,13.5156607298057,5.9206212708127,0.358277575669008,5.79737457658621,4.06608363326047,1.91462634081132,2.15395463341273,0.438387786892489,0.39454900820324,0.438387786892489,"Test","Multiple"
"HDIM_009",3.76916856449274,8.70752694358266,0.0539684166925637,0.0495000822401669,0.289294971370758,7.6415833038507,6.5499980293919,0.00245025814178329,0.289294971370758,4.96345392909063,4.2448794521481,5.37793295315102,3.41270485257149,3.87607537997512,2.7643413869945,32.9167378199721,14.2266336206471,0.153968416692564,8.40574163423577,6.5499980293919,3.01533485159419,3.39225170804347,0.289294971370758,0.260365474233682,0.289294971370758,"Test","Multiple"
"HDIM_010",1.69463280311934,3.65392602854445,0.542675426813762,0.519922739869262,0.552016247862215,4.02682060126016,2.92258313601083,0.27031965543316,0.552016247862215,1.96559482326961,1.8783405707438,2.67316950003737,1.62552556402132,1.92330443009098,2.00669394807981,6.03833114204106,2.6968894773856,0.642675426813762,4.42950266138617,2.92258313601083,1.35570624249547,1.5251695228074,0.552016247862215,0.496814623075994,0.552016247862215,"Test","Multiple"
