"year","cancer_type","incidence_rate"
1990,"Lung",56
1991,"Lung",59.1
1992,"Lung",62.2
1993,"Lung",53.3
1994,"Lung",56.7
1995,"Lung",58.4
1996,"Lung",62.4
1997,"Lung",54.2
1998,"Lung",60.1
1999,"Lung",53.7
2000,"Lung",51.4
2001,"Lung",50.6
2002,"Lung",52.8
2003,"Lung",52.9
2004,"Lung",51.5
2005,"Lung",55.2
2006,"Lung",52.1
2007,"Lung",50.7
2008,"Lung",48.7
2009,"Lung",46.1
2010,"Lung",43.6
2011,"Lung",49.6
2012,"Lung",48.6
2013,"Lung",52.1
2014,"Lung",48.4
2015,"Lung",49.4
2016,"Lung",46.6
2017,"Lung",43.5
2018,"Lung",46.4
2019,"Lung",46
2020,"Lung",42
2021,"Lung",43.9
2022,"Lung",49.5
2023,"Lung",39.6
1990,"Breast",134.4
1991,"Breast",124
1992,"Breast",134.9
1993,"Breast",120.5
1994,"Breast",125.6
1995,"Breast",128.1
1996,"Breast",125.7
1997,"Breast",130.7
1998,"Breast",125.8
1999,"Breast",134.6
2000,"Breast",128.3
2001,"Breast",131.7
2002,"Breast",120.2
2003,"Breast",123.7
2004,"Breast",134.8
2005,"Breast",131.4
2006,"Breast",127.6
2007,"Breast",127.9
2008,"Breast",133.5
2009,"Breast",127.6
2010,"Breast",129.7
2011,"Breast",119.1
2012,"Breast",140.7
2013,"Breast",134.6
2014,"Breast",135.2
2015,"Breast",118.3
2016,"Breast",130.3
2017,"Breast",128
2018,"Breast",122.2
2019,"Breast",135.5
2020,"Breast",138.9
2021,"Breast",127.9
2022,"Breast",130.2
2023,"Breast",142.5
1990,"Prostate",101.2
1991,"Prostate",114.7
1992,"Prostate",109.2
1993,"Prostate",110.6
1994,"Prostate",140.6
1995,"Prostate",153.2
1996,"Prostate",137.7
1997,"Prostate",153
1998,"Prostate",156.6
1999,"Prostate",135.2
2000,"Prostate",139.2
2001,"Prostate",151.9
2002,"Prostate",141.2
2003,"Prostate",143.5
2004,"Prostate",145.7
2005,"Prostate",112.9
2006,"Prostate",119
2007,"Prostate",112.1
2008,"Prostate",116.2
2009,"Prostate",120.1
2010,"Prostate",107.8
2011,"Prostate",112.8
2012,"Prostate",121.6
2013,"Prostate",115.1
2014,"Prostate",103.6
2015,"Prostate",113.1
2016,"Prostate",122.6
2017,"Prostate",116.1
2018,"Prostate",116.5
2019,"Prostate",118.2
2020,"Prostate",123.3
2021,"Prostate",116.9
2022,"Prostate",122.5
2023,"Prostate",123.4
1990,"Colorectal",37.7
1991,"Colorectal",39.3
1992,"Colorectal",38
1993,"Colorectal",39.6
1994,"Colorectal",35.5
1995,"Colorectal",41.3
1996,"Colorectal",40.6
1997,"Colorectal",35.9
1998,"Colorectal",36
1999,"Colorectal",35.2
2000,"Colorectal",32.8
2001,"Colorectal",31.9
2002,"Colorectal",32.7
2003,"Colorectal",28.8
2004,"Colorectal",32.2
2005,"Colorectal",31.7
2006,"Colorectal",28.5
2007,"Colorectal",31.6
2008,"Colorectal",31
2009,"Colorectal",30.2
2010,"Colorectal",33.7
2011,"Colorectal",34.2
2012,"Colorectal",33.8
2013,"Colorectal",31.9
2014,"Colorectal",34.8
2015,"Colorectal",32.1
2016,"Colorectal",31.6
2017,"Colorectal",33.5
2018,"Colorectal",33.3
2019,"Colorectal",29.6
2020,"Colorectal",28.7
2021,"Colorectal",29
2022,"Colorectal",27.7
2023,"Colorectal",26.2
1990,"Melanoma",21.3
1991,"Melanoma",21.9
1992,"Melanoma",23.6
1993,"Melanoma",24
1994,"Melanoma",25.4
1995,"Melanoma",25.5
1996,"Melanoma",26
1997,"Melanoma",28.8
1998,"Melanoma",29.8
1999,"Melanoma",28.3
2000,"Melanoma",31.9
2001,"Melanoma",30.2
2002,"Melanoma",33
2003,"Melanoma",33.6
2004,"Melanoma",34.9
2005,"Melanoma",37.1
2006,"Melanoma",35.7
2007,"Melanoma",37.7
2008,"Melanoma",41.6
2009,"Melanoma",38.5
2010,"Melanoma",40.4
2011,"Melanoma",42
2012,"Melanoma",43.2
2013,"Melanoma",43.5
2014,"Melanoma",44.7
2015,"Melanoma",47.1
2016,"Melanoma",46.8
2017,"Melanoma",48.3
2018,"Melanoma",49.4
2019,"Melanoma",50.4
2020,"Melanoma",51.5
2021,"Melanoma",52.1
2022,"Melanoma",52.3
2023,"Melanoma",53.9
1990,"Lymphoma",21
1991,"Lymphoma",22.3
1992,"Lymphoma",21.9
1993,"Lymphoma",22.3
1994,"Lymphoma",21.3
1995,"Lymphoma",22.3
1996,"Lymphoma",21.5
1997,"Lymphoma",22.4
1998,"Lymphoma",23.5
1999,"Lymphoma",23.3
2000,"Lymphoma",24.1
2001,"Lymphoma",23.7
2002,"Lymphoma",23.4
2003,"Lymphoma",24.5
2004,"Lymphoma",24.8
2005,"Lymphoma",22.1
2006,"Lymphoma",24.7
2007,"Lymphoma",24.7
2008,"Lymphoma",24.9
2009,"Lymphoma",23
2010,"Lymphoma",26.7
