"id","x_var","y_var","group","category","measurement","score"
1,29.1161008045784,24.4555220362064,"A","Type 2",67.2039597591144,66.8671244497301
2,64.6715856371376,45.8100418440052,"A","Type 1",67.927484024039,58.8644855756534
3,38.4277584592654,38.4820104761561,"B","Type 2",103.417323546954,25.1066667610921
4,61.4747387852894,44.7582586632697,"B","Type 1",105.570744920339,38.1911233010504
5,12.6278742996525,1.48778703602811,"C","Type 1",93.6276367205466,56.348368849346
6,73.763295683366,46.0257128717837,"C","Type 2",99.5404652324039,60.3110821203842
7,45.9381844245882,31.6590836916542,"B","Type 1",118.895595985085,33.9967995813973
8,54.647261131333,37.1121824457279,"C","Type 1",97.8821723080283,75.9219297886111
9,48.6970626338357,48.1936121033875,"B","Type 2",128.724898681481,27.9417249263367
10,81.6768436383505,47.7551589649768,"A","Type 1",116.91187194456,32.3340738098239
11,31.789220713173,21.2596576279124,"C","Type 2",94.9064068186346,15.9430310154407
12,36.5932233639413,37.7176994682369,"A","Type 2",94.8623111940898,46.7221622202537
13,42.4971321097033,15.3659213406118,"A","Type 2",105.450984829615,38.0353767590553
14,38.6189977220542,15.1164597971365,"C","Type 2",85.2556195623506,47.2887661260311
15,44.1573630842492,35.2053078150174,"C","Type 1",109.52442529568,59.9845693821691
16,49.972368251764,22.6083283776165,"B","Type 1",130.687696445929,59.0637409226221
17,47.8592436686627,38.3798040319837,"A","Type 1",103.146800938617,63.5839079515441
18,48.6385655877038,16.2350168773315,"B","Type 2",108.734024506201,35.4365569577391
19,50.1739057096096,21.5312776148325,"A","Type 1",110.819352122623,32.4917322521245
20,35.5794945620172,32.661519213027,"B","Type 2",97.8770287844932,14.2866963144686
21,66.1435443814663,36.6025017225489,"A","Type 2",76.0170551779647,32.3772414406059
22,68.8970395095779,35.7879103135346,"C","Type 1",70.5478838560201,94.251870317606
23,24.7044033565317,1.25360141224459,"A","Type 2",98.281151377016,79.5070990336198
24,58.1398318990499,25.3892652014895,"C","Type 1",101.334943431901,33.9440144983271
25,81.2199901586911,50.2996795499802,"C","Type 2",93.3082292883404,73.6988290779129
26,48.3208990623137,19.8533153664389,"B","Type 1",107.207413955339,28.220680510722
27,73.1716232183403,46.1146941789318,"A","Type 1",94.2634835529417,52.2116168264825
28,47.8945710546504,22.2472511879581,"A","Type 1",102.949419470593,56.7524962263907
29,37.0155309343291,19.7935489804252,"B","Type 1",87.6197499464176,80.7415248526669
30,48.3996689631145,50.7919355074802,"A","Type 2",93.6651427191615,53.3650922896863
