id,category,group,response,count
SM001,Category B,Group 2,Negative,1
SM002,Category A,Group 2,Neutral,1
SM003,Category A,Group 1,Negative,1
SM004,Category A,Group 2,Neutral,1
SM005,Category C,Group 1,Negative,1
SM006,Category A,Group 2,Negative,1
SM007,Category A,Group 1,Positive,1
SM008,Category A,Group 1,Negative,1
SM009,Category B,Group 1,Neutral,1
SM010,NA,Group 1,Neutral,1
SM011,Category B,Group 2,Positive,1
SM012,Category B,Group 1,Neutral,1
SM013,Category A,Group 1,Positive,1
SM014,Category A,Group 2,Negative,1
SM015,Category A,Group 1,Negative,1
SM016,Category B,Group 1,Positive,1
SM017,Category B,Group 2,Negative,1
SM018,Category A,Group 1,Positive,1
SM019,Category B,Group 1,Positive,1
SM020,Category B,Group 2,Positive,1
SM021,Category A,Group 2,Neutral,1
SM022,Category A,Group 2,Positive,1
SM023,Category C,Group 1,Negative,1
SM024,Category A,Group 1,Neutral,1
SM025,NA,Group 2,Positive,1
SM026,Category B,Group 1,Positive,1
SM027,Category C,Group 1,Neutral,1
SM028,Category B,Group 2,Neutral,1
SM029,Category C,Group 1,Negative,1
SM030,Category C,Group 1,Neutral,1
