"subject_id","group","condition","right_skewed","left_skewed","bimodal","normal","lognormal"
1,"Skewed Right","Condition A",0.469193356111646,84.4419473418055,85.1732341436743,42.8820060678138,15.8531845526379
2,"Skewed Left","Condition A",9.52919910661876,80.0789022454081,37.3485602224854,70.5689495660284,10.0562222318545
3,"Normal","Condition A",25.0551966010573,12.0133056542024,65.5902696331461,49.8978675368841,6.14677308107767
4,"Skewed Right","Condition B",16.1384170121493,92.7221300080419,42.7273304290505,57.0995101526886,32.9680647724901
5,"Bimodal","Condition A",64.2054808106194,95.3726359912874,70.6575438804248,59.9571183153287,30.079041637361
6,"Skewed Right","Condition A",0.0132082123309374,89.1612352617085,63.0880606851226,49.1866790734288,14.2392741481832
7,"Normal","Condition A",1.86840416863561,93.403853867203,36.7907047261443,37.1376096355622,8.17865277846545
8,"Skewed Right","Condition B",13.8508164230734,84.5564844031973,70.2782160654405,43.1564234750102,18.200277516518
9,"Bimodal","Condition A",12.1702510956675,97.8365379851311,31.7022685485871,47.0055959379008,21.3995866085111
10,"Skewed Left","Condition B",7.06546132452786,99.3823223288959,70.6583650545549,54.643041967774,18.8106223030769
11,"Normal","Condition A",15.4866209939336,81.1230888638184,68.7411555831612,65.2638582817415,15.169384676326
12,"Normal","Condition B",34.6507595462685,81.2256508905671,31.4029462944243,57.9386166130155,26.0402694232199
13,"Skewed Right","Condition A",20.690632544417,95.1304769609123,37.4762819697337,38.9363399149268,11.8289440070456
14,"Skewed Left","Condition A",29.0854039398913,96.672387585404,35.0035583347323,56.7218417487046,22.0032619481542
15,"Bimodal","Condition A",12.4243486113846,94.2487634066492,74.9113143175329,77.0211539794187,34.3080405796782
16,"Skewed Left","Condition B",28.9234842715745,98.03780795075,36.3471272696944,25.5216937110273,12.3374877738914
17,"Skewed Left","Condition A",3.96226744385197,94.8681296174228,62.1801110598295,67.0259826388797,17.8548367476982
18,"Normal","Condition B",31.32886018436,94.4666588399559,75.6875782003355,72.9958240640651,37.0853078794494
19,"Bimodal","Condition A",21.8548674167811,83.2233606700694,78.01284264918,53.5966097692611,18.3076367713599
20,"Bimodal","Condition B",23.0685926592889,56.7654521693055,39.3953999963849,60.6586833078531,31.0207281713565
21,"Skewed Left","Condition B",40.519587395895,97.5964767205662,41.2802089471285,65.305459356087,28.1285896643917
22,"Skewed Left","Condition B",56.1442179737757,97.2445671648725,33.7495499596323,51.6280212098159,15.0100247843631
23,"Skewed Right","Condition B",22.4342507115545,80.9111265660284,65.0246356304746,25.0104772637988,36.7895009274197
24,"Bimodal","Condition B",2.12210072204471,0,32.9659209684488,48.2729963681691,37.9238577124491
25,"Skewed Left","Condition B",51.5649997790284,98.2494459301233,74.6886803389408,57.4639209893784,13.3621611327933
26,"Normal","Condition B",38.1308588741307,74.0893145845291,67.2173997954951,63.869179177891,10.8835385382694
27,"Skewed Left","Condition B",41.052082365561,76.2457801410017,58.1183929278231,43.4735367263712,17.8459088033815
28,"Bimodal","Condition A",48.0443860192723,97.05606110394,27.1894147622768,68.6156771733997,45.4142403237145
29,"Skewed Right","Condition A",8.46157506536189,76.7259963982758,64.799325920111,59.6314251938936,31.0462907192634
30,"Skewed Right","Condition B",55.9822791781197,81.7279521570561,71.0666383027079,67.1578324933133,17.5473702076042
31,"Skewed Right","Condition A",11.108653685078,96.4697247184813,45.6186768403866,68.9637647561267,39.6907084495391
32,"Bimodal","Condition B",6.2893858785826,68.1269222514744,51.1949604418197,47.0675263739845,27.5690916586394
33,"Skewed Right","Condition B",10.8239350188524,95.3642903920263,64.0952943413032,65.446930746149,16.3405751031241
34,"Bimodal","Condition A",40.7729515416508,63.8346580060239,15.5034536163387,75.0129203115831,17.9567536902177
35,"Skewed Right","Condition A",28.1710512730528,92.8358295064609,78.2672298463636,58.8861551416568,47.5639198046912
36,"Skewed Left","Condition B",71.6644237521005,94.6051504462957,67.6922783621384,47.9777789569345,26.2845961331939
37,"Skewed Right","Condition A",0.960436810643517,92.5170147319634,67.8003405808031,39.3230228852664,14.7363401588272
38,"Skewed Right","Condition B",12.7758771833032,97.2615286975226,38.7373580488937,54.3514788173557,20.6604742920951
39,"Skewed Right","Condition B",11.548056602478,92.6524726580828,38.4586828257671,52.9266823420551,35.0298534357873
40,"Skewed Left","Condition B",8.29959200695157,93.5771544836462,61.6075168818727,22.9465021187467,18.7678001011172
41,"Bimodal","Condition A",31.8291152624374,52.716710665594,33.0315266290518,39.7407316642188,14.0187311303647
42,"Normal","Condition B",5.84966114722192,72.3954055839238,37.887829381881,59.6715308249863,19.1148632897209
43,"Normal","Condition B",32.0589716715698,45.9364202882808,51.9421567455307,39.0806475834585,24.7684670642644
44,"Skewed Left","Condition A",8.29005461376713,86.0235009164569,77.5679618908283,61.9290542451958,25.6011493881954
45,"Normal","Condition A",6.63325173809859,55.8646445374064,27.6919692342856,48.0549036419234,39.2698650819497
46,"Bimodal","Condition A",4.20782901441493,84.6172383808551,60.8498380200653,51.13170743554,23.9574712676061
47,"Normal","Condition A",38.4840627370362,85.8660345683089,63.5525799651814,61.4865799134142,15.2044327665619
48,"Bimodal","Condition A",12.6443177927285,93.9165958669037,84.9762567758451,72.2649985701181,23.014412428262
49,"Skewed Right","Condition A",11.5221253782511,87.8662080553415,33.5556507348316,51.6487048846017,12.453968735156
50,"Skewed Left","Condition B",1.04110054221002,85.9885540504452,82.8239162675848,44.2582982152467,36.6081774296868
51,"Normal","Condition A",20.0106630838456,99.2191126961997,42.9401462500875,47.930324989955,17.8343979120093
52,"Skewed Left","Condition A",15.7013500473442,42.7663747838048,35.152762830971,70.8281686527384,25.9010262457321
53,"Skewed Left","Condition A",6.60189528018236,91.1872420273721,29.1961994505177,55.3369952881996,11.8783288510116
54,"Skewed Left","Condition A",5.21136554889381,96.7978273390213,40.7368253507763,55.4678737071506,16.7892438133333
55,"Normal","Condition A",26.8682076587322,99.7874405421317,31.9269195782143,50.6389341546277,16.9217212481975
56,"Skewed Right","Condition A",2.02260165475309,63.3661399425979,28.0886291122984,50.334595317588,22.8536579601551
57,"Normal","Condition B",23.5598066821144,92.7350126579404,21.3882580375146,68.1358718527665,9.56754507179928
58,"Skewed Left","Condition B",27.8200545145159,76.4842783295569,47.4282738125015,49.4885096277267,12.7042828804596
59,"Bimodal","Condition B",39.5930894074922,96.4733342826366,65.4432099650073,32.3281817113115,19.8480367587505
60,"Normal","Condition A",25.3745350978317,74.3701147855279,37.195154475327,46.0190831481228,19.6115308448876
61,"Bimodal","Condition A",14.5309734149816,94.1695781052113,39.1718940483522,46.9543564099644,32.1529347718526
62,"Bimodal","Condition A",0.406886320561171,94.8308833967894,35.289119743173,54.1007871862216,15.6870243341625
63,"Skewed Right","Condition A",2.11689066498302,98.0014360275008,66.2330011567191,63.1242230432957,24.0751699835886
64,"Bimodal","Condition A",15.0999738679644,98.3403041399791,68.4764987045714,47.4757312193363,26.3030390795841
65,"Skewed Right","Condition B",14.0915366812589,99.3227823544294,72.0500967403201,68.5474934839218,20.4629261614365
66,"Skewed Right","Condition B",0.691655343398452,99.0494374837726,42.5837470285535,87.6098162379297,33.3295607998899
67,"Normal","Condition A",11.0231880750507,96.0543338675052,44.0084717889542,75.5042266284913,31.5272563093085
68,"Normal","Condition A",12.5146406237036,98.3123050670644,74.5373319261023,51.6770231732593,31.6808467388393
69,"Skewed Right","Condition A",52.3746331383414,99.5074206683785,64.6943522815646,68.4061209151672,17.8948680363914
70,"Normal","Condition B",26.5233113235774,89.7947745397687,44.6134055993036,49.0574349537624,30.4542135261768
71,"Skewed Left","Condition A",3.54364918544888,62.4042883920561,65.3327507452497,50.3758827579401,51.4967275823413
72,"Normal","Condition A",9.98861884698272,70.9525064269926,62.5456461872392,48.8715758900774,15.3761668454467
73,"Skewed Right","Condition A",4.06826552003622,80.775867701417,32.9502442735418,62.9727754661158,15.1870319986804
74,"Skewed Right","Condition A",5.80148169770837,98.4344788547605,34.8266308496836,54.7001650475402,37.5493704626819
75,"Skewed Left","Condition A",29.9311296722357,90.5020599626005,62.0717754158084,54.3794463093618,21.1754431292968
76,"Skewed Right","Condition A",23.1980450070443,78.5436240033266,21.4323655257724,54.0113729152583,20.7094895197574
77,"Skewed Right","Condition A",0.876532588154078,54.8498174945884,55.8303394715531,44.3699357458367,13.5782405115058
78,"Normal","Condition A",20.3821121706607,83.8327784844694,44.49082985175,39.1709979527335,13.3561771828233
79,"Normal","Condition B",27.5558534814956,76.2198868588564,42.2749822020998,64.3121707789976,21.967301132665
80,"Skewed Left","Condition A",5.3873213659972,96.1006959788108,80.0556943952699,56.7187256376584,9.59611537317263
81,"Normal","Condition A",14.2097797524599,99.9275207612664,46.6796893057297,55.3751954476346,18.1129381397637
82,"Normal","Condition A",9.2565301654016,54.7286235408223,75.5378331550573,52.2717150082368,23.4927745457091
83,"Bimodal","Condition A",6.76687008714318,97.4737191852182,33.9738046882318,47.9992326462644,16.227742942105
84,"Normal","Condition A",5.22468810272738,98.1407337918207,24.0979735311519,83.1187224750649,30.816028172739
85,"Skewed Left","Condition A",18.2910488562905,95.9071229211986,62.7522563927201,41.7281851509567,25.5108540931292
86,"Bimodal","Condition A",4.2495571821928,91.2909962981939,37.1946048173502,33.5165535163886,34.8688821641102
