audit_id,quality_grade,compliance,risk_category,accreditation,institution_type,quarter,audit_count
QA0001,Good,Mostly Compliant,Low Risk,Provisional,Academic Center,Q1 2025,1
QA0002,Excellent,Partially Compliant,Low Risk,Accredited,Private Practice,Q1 2025,1
QA0003,Excellent,Fully Compliant,Low Risk,Accredited,Specialty Clinic,Q3 2025,1
QA0004,Poor,Fully Compliant,Low Risk,Accredited,Private Practice,Q2 2025,1
QA0005,Good,Partially Compliant,Intermediate Risk,Provisional,Private Practice,Q1 2025,1
QA0006,NA,Partially Compliant,Low Risk,Accredited,Academic Center,Q2 2025,1
QA0007,Good,NA,High Risk,Accredited,Academic Center,Q4 2025,1
QA0008,Good,Mostly Compliant,Low Risk,Accredited,Specialty Clinic,Q2 2025,1
QA0009,Good,Fully Compliant,Low Risk,Accredited,Academic Center,Q3 2025,1
QA0010,Good,Mostly Compliant,Low Risk,Accredited,Academic Center,Q4 2025,1
QA0011,Excellent,Mostly Compliant,Low Risk,Accredited,Private Practice,Q3 2025,1
QA0012,Fair,Partially Compliant,Low Risk,Accredited,Private Practice,Q4 2025,1
QA0013,Good,Mostly Compliant,Low Risk,Accredited,Academic Center,Q2 2025,1
QA0014,Poor,Mostly Compliant,Low Risk,Accredited,Community Hospital,Q1 2025,1
QA0015,Fair,Partially Compliant,Low Risk,Accredited,Community Hospital,Q2 2025,1
QA0016,Excellent,Partially Compliant,Intermediate Risk,Accredited,Academic Center,Q3 2025,1
QA0017,Good,Mostly Compliant,Intermediate Risk,Provisional,Community Hospital,Q2 2025,1
QA0018,Good,Partially Compliant,Low Risk,Accredited,Academic Center,Q2 2025,1
QA0019,Excellent,Mostly Compliant,Low Risk,Accredited,Specialty Clinic,Q3 2025,1
QA0020,Good,Fully Compliant,Low Risk,Accredited,Community Hospital,Q1 2025,1
QA0021,Excellent,Partially Compliant,Intermediate Risk,Accredited,Community Hospital,Q2 2025,1
QA0022,Excellent,Mostly Compliant,Low Risk,Accredited,Academic Center,Q1 2025,1
QA0023,Good,NA,High Risk,Accredited,Community Hospital,Q3 2025,1
QA0024,Poor,Fully Compliant,Intermediate Risk,Provisional,Community Hospital,Q3 2025,1
QA0025,Excellent,Fully Compliant,Low Risk,Accredited,Private Practice,Q4 2025,1
QA0026,Excellent,Non-Compliant,Intermediate Risk,Accredited,Community Hospital,Q4 2025,1
QA0027,Excellent,Mostly Compliant,Intermediate Risk,Accredited,Private Practice,Q4 2025,1
QA0028,Fair,Fully Compliant,Intermediate Risk,Accredited,Community Hospital,Q1 2025,1
QA0029,Good,Non-Compliant,Low Risk,Accredited,Specialty Clinic,Q1 2025,1
QA0030,Good,Fully Compliant,Low Risk,Accredited,Community Hospital,Q4 2025,1
QA0031,Fair,Fully Compliant,Low Risk,Accredited,Specialty Clinic,Q1 2025,1
QA0032,Excellent,Partially Compliant,High Risk,Accredited,Private Practice,Q1 2025,1
QA0033,Excellent,Partially Compliant,Intermediate Risk,Accredited,Community Hospital,Q4 2025,1
QA0034,Fair,Fully Compliant,Low Risk,Accredited,Community Hospital,Q1 2025,1
QA0035,Excellent,Non-Compliant,Low Risk,Provisional,Academic Center,Q4 2025,1
QA0036,NA,Mostly Compliant,Intermediate Risk,Accredited,Specialty Clinic,Q2 2025,1
QA0037,Fair,Fully Compliant,Intermediate Risk,Accredited,Community Hospital,Q4 2025,1
QA0038,Excellent,Mostly Compliant,Intermediate Risk,Provisional,Community Hospital,Q3 2025,1
QA0039,Good,Fully Compliant,Intermediate Risk,Accredited,Academic Center,Q3 2025,1
QA0040,Excellent,NA,Low Risk,Accredited,Academic Center,Q2 2025,1
QA0041,Excellent,Partially Compliant,High Risk,Accredited,Private Practice,Q2 2025,1
QA0042,Fair,Fully Compliant,Intermediate Risk,Accredited,Academic Center,Q4 2025,1
QA0043,Excellent,Fully Compliant,Intermediate Risk,Provisional,Private Practice,Q3 2025,1
QA0044,NA,Fully Compliant,Intermediate Risk,Provisional,Academic Center,Q1 2025,1
QA0045,Poor,Partially Compliant,Low Risk,Accredited,Private Practice,Q3 2025,1
QA0046,Fair,Mostly Compliant,Low Risk,Accredited,Community Hospital,Q3 2025,1
QA0047,Good,Non-Compliant,High Risk,Accredited,Community Hospital,Q3 2025,1
QA0048,Fair,Mostly Compliant,Low Risk,Provisional,Community Hospital,Q1 2025,1
QA0049,Good,Fully Compliant,Intermediate Risk,Accredited,Academic Center,Q2 2025,1
QA0050,Poor,Fully Compliant,Low Risk,Provisional,Academic Center,Q4 2025,1
QA0051,Fair,Mostly Compliant,Low Risk,Accredited,Academic Center,Q3 2025,1
QA0052,Excellent,Non-Compliant,Low Risk,Provisional,Academic Center,Q2 2025,1
QA0053,Fair,Mostly Compliant,Low Risk,Provisional,Academic Center,Q1 2025,1
QA0054,Excellent,Mostly Compliant,Low Risk,Accredited,Private Practice,Q4 2025,1
QA0055,Good,Fully Compliant,Low Risk,Accredited,Community Hospital,Q3 2025,1
QA0056,Good,Fully Compliant,Low Risk,Accredited,Academic Center,Q1 2025,1
QA0057,Good,Fully Compliant,Intermediate Risk,Accredited,Academic Center,Q2 2025,1
