"spending","interims","n","local","both_boundaries"
"obrien_fleming",1,10,0.0654845058828789,0.0655021693843063
"obrien_fleming",1,200,0.374310361534053,0.374316670788192
"obrien_fleming",1,1000,0.956202895100722,0.956203004794169
"obrien_fleming",5,10,0.0649596063155118,0.0649599707616518
"obrien_fleming",5,200,0.36525666883932,0.365274356653076
"obrien_fleming",5,1000,0.95237787969357,0.952382914383652
"pocock",1,10,0.0624374573434277,0.0626316898161033
"pocock",1,200,0.329216292412768,0.329450057103573
"pocock",1,1000,0.937563350952394,0.937564276235347
"pocock",5,10,0.0603514592175271,0.0607373321208292
"pocock",5,200,0.296286269049306,0.297080501506184
"pocock",5,1000,0.918845771392877,0.918869483382222
