"spending","interims","n","local","upper_boundary_probability"
"obrien_fleming",1,10,0.0654845058828789,0.0554833896749437
"obrien_fleming",1,200,0.374310361534053,0.374150180567736
"obrien_fleming",1,1000,0.956202895100722,0.956202983156679
"obrien_fleming",5,10,0.0649596063155118,0.0547301538582052
"obrien_fleming",5,200,0.36525666883932,0.365076140286193
"obrien_fleming",5,1000,0.95237787969357,0.952382873960145
"pocock",1,10,0.0624374573434277,0.0512404042114218
"pocock",1,200,0.329216292412768,0.32895406163643
"pocock",1,1000,0.937563350952394,0.937563284339273
"pocock",5,10,0.0603514592175271,0.0481439468296724
"pocock",5,200,0.296286269049306,0.295908305648821
"pocock",5,1000,0.918845771392877,0.918845554709296
