"hr","ratio","headline_n","curve_n","curve_power","power_mode","upstream_power","method"
0.5,0.5,129,136,0.782534814313445,0.803108918878104,0.803091209258566,"LachinFoulkes"
0.5,1,111,113,0.797059193060218,0.801101829457533,0.801088120782501,"LachinFoulkes"
0.5,2,123,119,0.816178248698442,0.802634085201791,0.80263444938763,"LachinFoulkes"
0.5,5,193,179,0.831538489612735,0.800354200440842,0.800354576041358,"LachinFoulkes"
0.75,0.5,660,672,0.79357431182507,0.800448602179599,0.800421126583964,"LachinFoulkes"
0.75,1,580,583,0.799003002730497,0.8000464468475,0.800021584435252,"LachinFoulkes"
0.75,2,647,639,0.80529349268846,0.800240127247778,0.800220667875999,"LachinFoulkes"
0.75,5,1027,998,0.811482562022971,0.800139909663306,0.800124624741285,"LachinFoulkes"
1.5,0.5,278,275,0.804747275429892,0.800551294350022,0.800534317343522,"LachinFoulkes"
1.5,1,249,251,0.797438897321596,0.800096153518815,0.800072145029035,"LachinFoulkes"
1.5,2,284,290,0.792193916772244,0.8010814967968,0.801057041672279,"LachinFoulkes"
1.5,5,460,477,0.786007761685446,0.800263844381597,0.800292501974964,"LachinFoulkes"
