"result","type","title","visible","backend_lines","render","schema_line"
"notices","Preformatted","Important Information","Always","1038, 1057","",7
"welcome","Html","","(is.null(totalSamples) || is.null(firstDetection))","1062","",73
"guidedInstructions","Html","Quick Start Checklist","(showGuidedInstructions)","1068","",80
"conciseInstructions","Html","Analysis Overview","(showConciseInstructions)","1125","",86
"dataInfo","Table","Data Summary","Always","1176, 1287, 1414, 1425","",94
"probabilityExplanation","Html","Understanding Detection Probabilities","(showProbabilityExplanation)","1729","",111
"keyResults","Html","Key Results Summary","(showKeyResults)","2704","",117
"clinicalSummary","Html","Descriptive summary","(showClinicalSummary)","2749","",124
"binomialText","Html","Binomial Probability Model","(showBinomialModel)","1501","",131
"binomialTable","Table","Binomial Model Predictions","(showBinomialModel)","1524","",137
"recommendTable","Table","Samples for target detection probability","(showBinomialModel)","1550","",155
"bootstrapText","Html","Bootstrap Resampling Analysis","(showBootstrap)","1736, 1740","",170
"bootstrapTable","Table","Bootstrap Detection among observed-positive cases Estimates (Conditional)","(showBootstrap)","1789","",176
"detectionCurve","Image","Diagnostic Yield Curve","(showDetectionCurve)","1845",".detectionCurve",199
"sensitivityPlot","Image","Detection among observed-positive cases with Confidence Intervals","(showSensitivityCI && showBootstrap)","1773",".sensitivityPlot",209
"heterogeneityText","Html","Heterogeneity Analysis","(showHeterogeneityTest)","1589","",219
"heterogeneityTest","Table","Heterogeneity Test Results","(showHeterogeneityTest)","1590","",225
"modelFitText","Html","Model Fit Assessment","(showModelFit)","1618","",248
"modelFitTable","Table","Goodness of Fit Test","(showModelFit)","1619","",254
"obsPredText","Html","Observed vs Predicted Detection","(showObsPred)","1649","",277
"obsPredTable","Table","Observed vs Predicted Comparison","(showObsPred)","1650","",283
"empiricalCumulativeText","Html","Empirical Cumulative Detection Analysis","(showEmpiricalCumulative)","2296","",309
"empiricalCumulativeTable","Table","Empirical Detection Rates by Sample Threshold","(showEmpiricalCumulative)","2297","",315
"empiricalCumulativePlot","Image","Empirical Cumulative Detection Curve","(showEmpiricalCumulative)","1846",".empiricalCumulativePlot",341
"incrementalYieldText","Html","Incremental Diagnostic Yield Analysis","(showIncrementalYield)","2343","",351
"incrementalYieldTable","Table","Marginal Benefit per Additional Sample","(showIncrementalYield)","2344","",357
"populationDetectionText","Html","Population-Level Detection Rates","(showPopulationDetection)","2448","",381
"populationDetectionTable","Table","Conditional vs Population Detection","(showPopulationDetection)","2449","",387
