"path","md5"
"R/survivalPower.b.R","7b6048a5ae9e222292d54d91c37eef0d"
"R/survivalPower.h.R","72dec919d67e12dd723bf89af6979a4b"
"R/survivalPower_distributions.R","2c9ebdee7585ec4cfcca480e8f3c7459"
"jamovi/survivalPower.a.yaml","835e8aafc5e76de615107978ea5ba317"
"jamovi/survivalPower.u.yaml","48be768d4cb32c83c20699d9a5299bcb"
"jamovi/survivalPower.r.yaml","f106f67e0a7a91aaecb4ff25f6192393"
"jamovi/js/survivalPower.events.js","34bb60f706a83f37031a01f6bca1edfc"
"jamovi/00refs.yaml","7c909f488069ae617bcc52dd45773f54"
"tests/testthat/test-survivalPower-check-function.R","e3d4851c20c2ed70b49a37495aba50a6"
"tests/testthat/test-survivalPower-design-factors.R","0be7c1212959c5b91855d9552750e43a"
"tests/testthat/test-survivalPower-distributions.R","393ed7143672e32680666ee9cedab72a"
"tests/testthat/test-survivalPower-events.R","8e8cffdaac9597617d9f6d77d3b6ad5e"
"tests/testthat/test-survivalPower-full-audit-fixes.R","da4e94d41ee04c2e491f37d6072099b2"
"tests/testthat/test-survivalPower-interim-and-ni.R","2948ef82969a9d157fd60d34ea68d783"
"tests/testthat/test-survivalPower-release-review.R","b32f5fd7390150a2d37fb61a19e85a4e"
"tests/testthat/test-survivalPower-reporting.R","302251b9da85c6df43331fd55563649a"
"tests/testthat/test-survivalPower-simulation.R","b3520a95b7452d79a5ce3e4b523616ce"
"tests/testthat/test-survivalPower.R","4e2caff99b81bac03204ba9e02809e01"
"man/survivalPower.Rd","fc716a4f3813ae2f9d9bb9153bd32abb"
"development-scripts/validate_survivalPower_fixes.R","206f7e5dd311435cc7317b297c7599b9"
